data_dir,C',SB,VV,HH,N
2025-06-23--17h-49m-03s,0.0,12.0,2.0,106.0,120.0
2025-06-23--17h-49m-03s,1.0,13.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,8.0,0.0,112.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,1.0,107.0,120.0
2025-06-23--17h-49m-03s,1.0,14.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,1.0,15.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,1.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,3.0,14.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,21.0,0.0,99.0,120.0
2025-06-23--17h-49m-03s,3.0,17.0,1.0,99.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,1.0,15.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,2.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,1.0,17.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,9.0,1.0,110.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,2.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,22.0,0.0,98.0,120.0
2025-06-23--17h-49m-03s,0.0,7.0,1.0,112.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,1.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,0.0,110.0,120.0
2025-06-23--17h-49m-03s,1.0,10.0,1.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,8.0,1.0,111.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,1.0,19.0,1.0,99.0,120.0
2025-06-23--17h-49m-03s,1.0,11.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,3.0,11.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,2.0,13.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,1.0,9.0,1.0,109.0,120.0
2025-06-23--17h-49m-03s,1.0,17.0,1.0,101.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,2.0,9.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,9.0,0.0,111.0,120.0
2025-06-23--17h-49m-03s,2.0,11.0,1.0,106.0,120.0
2025-06-23--17h-49m-03s,1.0,12.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,6.0,0.0,114.0,120.0
2025-06-23--17h-49m-03s,1.0,16.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,1.0,17.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,2.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,24.0,0.0,96.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,1.0,14.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,8.0,1.0,111.0,120.0
2025-06-23--17h-49m-03s,1.0,11.0,2.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,0.0,110.0,120.0
2025-06-23--17h-49m-03s,1.0,18.0,1.0,100.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,1.0,13.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,1.0,108.0,120.0
2025-06-23--17h-49m-03s,1.0,10.0,1.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,0.0,110.0,120.0
2025-06-23--17h-49m-03s,1.0,15.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,0.0,110.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,9.0,2.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,1.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,9.0,1.0,110.0,120.0
2025-06-23--17h-49m-03s,1.0,17.0,1.0,101.0,120.0
2025-06-23--17h-49m-03s,1.0,12.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,1.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,1.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,1.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,2.0,104.0,120.0
2025-06-23--17h-49m-03s,1.0,14.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,1.0,14.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,1.0,22.0,0.0,97.0,120.0
2025-06-23--17h-49m-03s,1.0,13.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,9.0,0.0,111.0,120.0
2025-06-23--17h-49m-03s,1.0,10.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,1.0,11.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,0.0,110.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,1.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,1.0,15.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,1.0,7.0,1.0,111.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,1.0,14.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,22.0,0.0,98.0,120.0
2025-06-23--17h-49m-03s,1.0,17.0,2.0,100.0,120.0
2025-06-23--17h-49m-03s,1.0,10.0,1.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,2.0,11.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,1.0,23.0,0.0,96.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,1.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,1.0,109.0,120.0
2025-06-23--17h-49m-03s,1.0,9.0,0.0,110.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,1.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,1.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,8.0,0.0,112.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,1.0,106.0,120.0
2025-06-23--17h-49m-03s,1.0,12.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,1.0,14.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,1.0,12.0,1.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,1.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,6.0,1.0,113.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,1.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,2.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,8.0,1.0,111.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,0.0,110.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,7.0,0.0,113.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,1.0,108.0,120.0
2025-06-23--17h-49m-03s,1.0,10.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,1.0,14.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,6.0,0.0,114.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,9.0,0.0,111.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,4.0,20.0,1.0,95.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,1.0,15.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,1.0,15.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,2.0,12.0,1.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,0.0,110.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,1.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,2.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,1.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,1.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,20.0,0.0,100.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,8.0,0.0,112.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,1.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,8.0,1.0,111.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,2.0,104.0,120.0
2025-06-23--17h-49m-03s,1.0,12.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,1.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,1.0,9.0,0.0,110.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,1.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,1.0,14.0,3.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,23.0,0.0,97.0,120.0
2025-06-23--17h-49m-03s,0.0,8.0,0.0,112.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,1.0,16.0,1.0,102.0,120.0
2025-06-23--17h-49m-03s,1.0,9.0,1.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,8.0,0.0,112.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,1.0,108.0,120.0
2025-06-23--17h-49m-03s,1.0,15.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,1.0,9.0,1.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,1.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,1.0,13.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,9.0,0.0,111.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,9.0,0.0,111.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,1.0,13.0,1.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,1.0,106.0,120.0
2025-06-23--17h-49m-03s,1.0,13.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,1.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,1.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,9.0,1.0,110.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,1.0,11.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,1.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,0.0,110.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,2.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,1.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,1.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,20.0,4.0,96.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,0.0,110.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,1.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,2.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,9.0,2.0,109.0,120.0
2025-06-23--17h-49m-03s,1.0,16.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,1.0,21.0,0.0,98.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,0.0,110.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,1.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,1.0,105.0,120.0
2025-06-23--17h-49m-03s,1.0,18.0,0.0,101.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,2.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,2.0,101.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,1.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,1.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,1.0,16.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,1.0,11.0,2.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,1.0,101.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,2.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,1.0,14.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,20.0,0.0,100.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,1.0,11.0,1.0,107.0,120.0
2025-06-23--17h-49m-03s,1.0,10.0,1.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,20.0,0.0,100.0,120.0
2025-06-23--17h-49m-03s,0.0,19.0,0.0,101.0,120.0
2025-06-23--17h-49m-03s,0.0,19.0,0.0,101.0,120.0
2025-06-23--17h-49m-03s,1.0,17.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,1.0,20.0,0.0,99.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,1.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,1.0,106.0,120.0
2025-06-23--17h-49m-03s,1.0,15.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,1.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,19.0,1.0,100.0,120.0
2025-06-23--17h-49m-03s,0.0,20.0,0.0,100.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,8.0,0.0,112.0,120.0
2025-06-23--17h-49m-03s,0.0,21.0,0.0,99.0,120.0
2025-06-23--17h-49m-03s,2.0,11.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,1.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,1.0,19.0,1.0,99.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,3.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,1.0,15.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,1.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,1.0,8.0,1.0,110.0,120.0
2025-06-23--17h-49m-03s,0.0,21.0,0.0,99.0,120.0
2025-06-23--17h-49m-03s,1.0,15.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,0.0,110.0,120.0
2025-06-23--17h-49m-03s,1.0,11.0,1.0,107.0,120.0
2025-06-23--17h-49m-03s,1.0,13.0,2.0,104.0,120.0
2025-06-23--17h-49m-03s,2.0,11.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,2.0,103.0,120.0
2025-06-23--17h-49m-03s,1.0,13.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,2.0,13.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,1.0,13.0,1.0,105.0,120.0
2025-06-23--17h-49m-03s,1.0,17.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,17.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,2.0,16.0,5.0,97.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,1.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,1.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,2.0,107.0,120.0
2025-06-23--17h-49m-03s,2.0,10.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,2.0,16.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,1.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,2.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,1.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,1.0,8.0,0.0,111.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,0.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,11.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,19.0,0.0,101.0,120.0
2025-06-23--17h-49m-03s,1.0,13.0,0.0,106.0,120.0
2025-06-23--17h-49m-03s,0.0,10.0,0.0,110.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,18.0,0.0,102.0,120.0
2025-06-23--17h-49m-03s,1.0,11.0,1.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,12.0,0.0,108.0,120.0
2025-06-23--17h-49m-03s,1.0,16.0,0.0,103.0,120.0
2025-06-23--17h-49m-03s,0.0,15.0,1.0,104.0,120.0
2025-06-23--17h-49m-03s,1.0,10.0,0.0,109.0,120.0
2025-06-23--17h-49m-03s,0.0,19.0,0.0,101.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,1.0,105.0,120.0
2025-06-23--17h-49m-03s,0.0,13.0,0.0,107.0,120.0
2025-06-23--17h-49m-03s,0.0,16.0,0.0,104.0,120.0
2025-06-23--17h-49m-03s,0.0,14.0,0.0,106.0,120.0
