data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-23--16h-55m-05s,0,0.0,3.0,0.0,0.0,3.0
2025-05-23--16h-55m-05s,1,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,2,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,3,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,4,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,5,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,6,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-05s,7,0.0,4.0,0.0,0.0,4.0
2025-05-23--16h-55m-05s,8,0.0,0.0,0.0,0.5,0.5
2025-05-23--16h-55m-05s,9,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,10,0.0,3.0,0.0,0.0,3.0
2025-05-23--16h-55m-05s,11,0.0,0.0,0.0,0.5,0.5
2025-05-23--16h-55m-05s,12,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,13,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,14,0.5,1.0,0.0,0.0,1.5
2025-05-23--16h-55m-05s,15,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,16,0.0,2.0,0.0,0.5,2.5
2025-05-23--16h-55m-05s,18,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-05s,19,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,20,0.0,0.0,0.0,0.5,0.5
2025-05-23--16h-55m-05s,21,0.0,3.0,0.0,0.0,3.0
2025-05-23--16h-55m-05s,22,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,24,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,25,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,26,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,27,0.0,4.0,0.0,0.0,4.0
2025-05-23--16h-55m-05s,28,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-05s,29,0.0,3.0,0.0,0.5,3.5
2025-05-23--16h-55m-05s,30,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,31,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,32,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,33,0.0,0.0,0.0,1.0,1.0
2025-05-23--16h-55m-05s,34,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-05s,35,0.0,2.0,0.0,1.0,3.0
2025-05-23--16h-55m-05s,38,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,39,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,40,0.0,2.0,0.0,0.5,2.5
2025-05-23--16h-55m-05s,41,0.5,2.0,0.0,0.0,2.5
2025-05-23--16h-55m-05s,42,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,43,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,44,0.0,1.0,0.0,1.0,2.0
2025-05-23--16h-55m-05s,45,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,46,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-05s,47,0.0,4.0,0.0,0.0,4.0
2025-05-23--16h-55m-05s,48,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,49,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,50,0.0,0.0,0.0,0.5,0.5
2025-05-23--16h-55m-05s,51,0.0,2.0,0.0,1.0,3.0
2025-05-23--16h-55m-05s,52,0.0,3.0,0.0,0.0,3.0
2025-05-23--16h-55m-05s,53,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-05s,55,0.0,2.0,0.0,0.5,2.5
2025-05-23--16h-55m-05s,56,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-05s,57,0.0,2.0,0.0,2.0,4.0
2025-05-23--16h-55m-05s,58,0.0,3.0,0.0,0.0,3.0
2025-05-23--16h-55m-05s,59,0.0,3.0,0.0,0.0,3.0
2025-05-23--16h-55m-05s,60,0.0,3.0,0.0,0.0,3.0
2025-05-23--16h-55m-05s,63,0.0,1.0,0.0,1.0,2.0
2025-05-23--16h-55m-05s,64,0.0,3.0,0.0,0.0,3.0
2025-05-23--16h-55m-05s,65,0.0,3.0,1.0,0.0,4.0
2025-05-23--16h-55m-05s,66,0.0,0.0,0.0,1.0,1.0
2025-05-23--16h-55m-05s,67,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,68,0.0,3.0,0.0,0.0,3.0
2025-05-23--16h-55m-05s,71,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,72,0.0,3.0,0.0,0.0,3.0
2025-05-23--16h-55m-05s,73,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-05s,74,0.5,3.0,0.0,0.0,3.5
2025-05-23--16h-55m-05s,75,0.0,0.0,0.0,0.5,0.5
2025-05-23--16h-55m-05s,76,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-05s,77,0.5,1.0,0.0,0.0,1.5
2025-05-23--16h-55m-05s,78,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-05s,79,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-05s,80,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,81,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,82,0.0,3.0,0.0,0.0,3.0
2025-05-23--16h-55m-05s,84,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-05s,85,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-05s,86,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,87,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,88,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,89,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,90,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,91,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-05s,93,0.5,2.0,0.0,0.0,2.5
2025-05-23--16h-55m-05s,94,0.5,0.0,0.0,0.0,0.5
2025-05-23--16h-55m-05s,95,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,97,0.0,2.0,0.0,0.5,2.5
2025-05-23--16h-55m-05s,98,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-05s,99,0.0,1.0,0.0,0.0,1.0
