data_dir,C,SB,DB_V,DB_H,N
2025-06-18--18h-49m-58s,61.0,16.0,1.0,42.0,120.0
2025-06-18--18h-49m-58s,51.0,15.0,1.0,53.0,120.0
2025-06-18--18h-49m-58s,67.0,20.0,1.0,32.0,120.0
2025-06-18--18h-49m-58s,62.0,19.0,0.0,39.0,120.0
2025-06-18--18h-49m-58s,54.0,24.0,0.0,42.0,120.0
2025-06-18--18h-49m-58s,53.0,9.0,1.0,57.0,120.0
2025-06-18--18h-49m-58s,63.0,14.0,0.0,43.0,120.0
2025-06-18--18h-49m-58s,68.0,16.0,1.0,35.0,120.0
2025-06-18--18h-49m-58s,49.0,22.0,1.0,48.0,120.0
2025-06-18--18h-49m-58s,61.0,15.0,2.0,42.0,120.0
2025-06-18--18h-49m-58s,64.0,20.0,0.0,36.0,120.0
2025-06-18--18h-49m-58s,59.0,13.0,1.0,47.0,120.0
2025-06-18--18h-49m-58s,66.0,9.0,0.0,45.0,120.0
2025-06-18--18h-49m-58s,61.0,14.0,0.0,45.0,120.0
2025-06-18--18h-49m-58s,57.0,16.0,3.0,44.0,120.0
2025-06-18--18h-49m-58s,57.0,14.0,3.0,46.0,120.0
2025-06-18--18h-49m-58s,61.0,11.0,0.0,48.0,120.0
2025-06-18--18h-49m-58s,60.0,14.0,0.0,46.0,120.0
2025-06-18--18h-49m-58s,69.0,10.0,1.0,40.0,120.0
2025-06-18--18h-49m-58s,52.0,16.0,3.0,49.0,120.0
2025-06-18--18h-49m-58s,56.0,9.0,4.0,51.0,120.0
2025-06-18--18h-49m-58s,51.0,17.0,2.0,50.0,120.0
2025-06-18--18h-49m-58s,64.0,19.0,1.0,36.0,120.0
2025-06-18--18h-49m-58s,71.0,11.0,0.0,38.0,120.0
2025-06-18--18h-49m-58s,56.0,16.0,0.0,48.0,120.0
2025-06-18--18h-49m-58s,54.0,17.0,1.0,48.0,120.0
2025-06-18--18h-49m-58s,62.0,17.0,2.0,39.0,120.0
2025-06-18--18h-49m-58s,56.0,16.0,0.0,48.0,120.0
2025-06-18--18h-49m-58s,56.0,17.0,1.0,46.0,120.0
2025-06-18--18h-49m-58s,62.0,17.0,1.0,40.0,120.0
2025-06-18--18h-49m-58s,63.0,20.0,2.0,35.0,120.0
2025-06-18--18h-49m-58s,60.0,14.0,0.0,46.0,120.0
2025-06-18--18h-49m-58s,73.0,12.0,0.0,35.0,120.0
2025-06-18--18h-49m-58s,53.0,15.0,0.0,52.0,120.0
2025-06-18--18h-49m-58s,47.0,23.0,1.0,49.0,120.0
2025-06-18--18h-49m-58s,65.0,15.0,1.0,39.0,120.0
2025-06-18--18h-49m-58s,53.0,14.0,1.0,52.0,120.0
2025-06-18--18h-49m-58s,58.0,16.0,0.0,46.0,120.0
2025-06-18--18h-49m-58s,54.0,21.0,1.0,44.0,120.0
2025-06-18--18h-49m-58s,59.0,12.0,2.0,47.0,120.0
2025-06-18--18h-49m-58s,57.0,12.0,0.0,51.0,120.0
2025-06-18--18h-49m-58s,57.0,18.0,1.0,44.0,120.0
2025-06-18--18h-49m-58s,59.0,14.0,0.0,47.0,120.0
2025-06-18--18h-49m-58s,54.0,21.0,1.0,44.0,120.0
2025-06-18--18h-49m-58s,56.0,16.0,0.0,48.0,120.0
2025-06-18--18h-49m-58s,64.0,20.0,0.0,36.0,120.0
2025-06-18--18h-49m-58s,61.0,15.0,3.0,41.0,120.0
2025-06-18--18h-49m-58s,64.0,11.0,1.0,44.0,120.0
2025-06-18--18h-49m-58s,67.0,13.0,0.0,40.0,120.0
2025-06-18--18h-49m-58s,66.0,18.0,0.0,36.0,120.0
2025-06-18--18h-49m-58s,68.0,10.0,1.0,41.0,120.0
2025-06-18--18h-49m-58s,63.0,16.0,1.0,40.0,120.0
2025-06-18--18h-49m-58s,55.0,18.0,0.0,47.0,120.0
2025-06-18--18h-49m-58s,62.0,13.0,1.0,44.0,120.0
2025-06-18--18h-49m-58s,58.0,13.0,0.0,49.0,120.0
2025-06-18--18h-49m-58s,66.0,10.0,1.0,43.0,120.0
2025-06-18--18h-49m-58s,66.0,14.0,1.0,39.0,120.0
2025-06-18--18h-49m-58s,70.0,12.0,0.0,38.0,120.0
2025-06-18--18h-49m-58s,51.0,26.0,2.0,41.0,120.0
2025-06-18--18h-49m-58s,62.0,17.0,3.0,38.0,120.0
2025-06-18--18h-49m-58s,55.0,13.0,3.0,49.0,120.0
2025-06-18--18h-49m-58s,58.0,11.0,2.0,49.0,120.0
2025-06-18--18h-49m-58s,66.0,13.0,3.0,38.0,120.0
2025-06-18--18h-49m-58s,61.0,16.0,1.0,42.0,120.0
2025-06-18--18h-49m-58s,60.0,15.0,1.0,44.0,120.0
2025-06-18--18h-49m-58s,62.0,13.0,1.0,44.0,120.0
2025-06-18--18h-49m-58s,61.0,19.0,1.0,39.0,120.0
2025-06-18--18h-49m-58s,59.0,13.0,0.0,48.0,120.0
2025-06-18--18h-49m-58s,51.0,20.0,3.0,46.0,120.0
2025-06-18--18h-49m-58s,60.0,9.0,3.0,48.0,120.0
2025-06-18--18h-49m-58s,64.0,16.0,1.0,39.0,120.0
2025-06-18--18h-49m-58s,54.0,16.0,2.0,48.0,120.0
2025-06-18--18h-49m-58s,62.0,11.0,1.0,46.0,120.0
2025-06-18--18h-49m-58s,66.0,20.0,0.0,34.0,120.0
2025-06-18--18h-49m-58s,62.0,27.0,1.0,30.0,120.0
2025-06-18--18h-49m-58s,51.0,18.0,0.0,51.0,120.0
2025-06-18--18h-49m-58s,50.0,24.0,1.0,45.0,120.0
2025-06-18--18h-49m-58s,57.0,18.0,1.0,44.0,120.0
2025-06-18--18h-49m-58s,68.0,9.0,0.0,43.0,120.0
2025-06-18--18h-49m-58s,52.0,23.0,1.0,44.0,120.0
2025-06-18--18h-49m-58s,54.0,13.0,3.0,50.0,120.0
2025-06-18--18h-49m-58s,67.0,15.0,1.0,37.0,120.0
2025-06-18--18h-49m-58s,60.0,11.0,2.0,47.0,120.0
2025-06-18--18h-49m-58s,55.0,9.0,1.0,55.0,120.0
2025-06-18--18h-49m-58s,60.0,12.0,2.0,46.0,120.0
2025-06-18--18h-49m-58s,64.0,20.0,0.0,36.0,120.0
2025-06-18--18h-49m-58s,58.0,13.0,0.0,49.0,120.0
2025-06-18--18h-49m-58s,43.0,17.0,2.0,58.0,120.0
2025-06-18--18h-49m-58s,63.0,16.0,0.0,41.0,120.0
2025-06-18--18h-49m-58s,54.0,15.0,0.0,51.0,120.0
2025-06-18--18h-49m-58s,65.0,12.0,0.0,43.0,120.0
2025-06-18--18h-49m-58s,54.0,23.0,0.0,43.0,120.0
2025-06-18--18h-49m-58s,53.0,14.0,1.0,52.0,120.0
2025-06-18--18h-49m-58s,71.0,10.0,0.0,39.0,120.0
2025-06-18--18h-49m-58s,66.0,15.0,0.0,39.0,120.0
2025-06-18--18h-49m-58s,64.0,12.0,0.0,44.0,120.0
2025-06-18--18h-49m-58s,69.0,14.0,1.0,36.0,120.0
2025-06-18--18h-49m-58s,59.0,21.0,2.0,38.0,120.0
2025-06-18--18h-49m-58s,58.0,13.0,3.0,46.0,120.0
2025-06-18--18h-49m-58s,67.0,20.0,2.0,31.0,120.0
2025-06-18--18h-49m-58s,47.0,18.0,2.0,53.0,120.0
2025-06-18--18h-49m-58s,62.0,11.0,3.0,44.0,120.0
2025-06-18--18h-49m-58s,64.0,16.0,2.0,38.0,120.0
2025-06-18--18h-49m-58s,57.0,12.0,0.0,51.0,120.0
2025-06-18--18h-49m-58s,62.0,18.0,1.0,39.0,120.0
2025-06-18--18h-49m-58s,59.0,12.0,1.0,48.0,120.0
2025-06-18--18h-49m-58s,67.0,14.0,1.0,38.0,120.0
2025-06-18--18h-49m-58s,67.0,15.0,1.0,37.0,120.0
2025-06-18--18h-49m-58s,58.0,23.0,0.0,39.0,120.0
2025-06-18--18h-49m-58s,46.0,11.0,1.0,62.0,120.0
2025-06-18--18h-49m-58s,75.0,13.0,1.0,31.0,120.0
2025-06-18--18h-49m-58s,61.0,14.0,0.0,45.0,120.0
2025-06-18--18h-49m-58s,53.0,24.0,0.0,43.0,120.0
2025-06-18--18h-49m-58s,61.0,12.0,1.0,46.0,120.0
2025-06-18--18h-49m-58s,52.0,26.0,3.0,39.0,120.0
2025-06-18--18h-49m-58s,51.0,16.0,0.0,53.0,120.0
2025-06-18--18h-49m-58s,59.0,16.0,1.0,44.0,120.0
2025-06-18--18h-49m-58s,59.0,15.0,0.0,46.0,120.0
2025-06-18--18h-49m-58s,62.0,16.0,1.0,41.0,120.0
2025-06-18--18h-49m-58s,52.0,12.0,2.0,54.0,120.0
2025-06-18--18h-49m-58s,57.0,18.0,1.0,44.0,120.0
2025-06-18--18h-49m-58s,61.0,19.0,3.0,37.0,120.0
2025-06-18--18h-49m-58s,66.0,13.0,2.0,39.0,120.0
2025-06-18--18h-49m-58s,61.0,9.0,0.0,50.0,120.0
2025-06-18--18h-49m-58s,59.0,19.0,2.0,40.0,120.0
2025-06-18--18h-49m-58s,65.0,9.0,1.0,45.0,120.0
2025-06-18--18h-49m-58s,69.0,13.0,0.0,38.0,120.0
2025-06-18--18h-49m-58s,59.0,5.0,1.0,55.0,120.0
2025-06-18--18h-49m-58s,59.0,15.0,1.0,45.0,120.0
2025-06-18--18h-49m-58s,58.0,20.0,0.0,42.0,120.0
2025-06-18--18h-49m-58s,58.0,15.0,2.0,45.0,120.0
2025-06-18--18h-49m-58s,60.0,14.0,2.0,44.0,120.0
2025-06-18--18h-49m-58s,62.0,16.0,0.0,42.0,120.0
2025-06-18--18h-49m-58s,66.0,17.0,1.0,36.0,120.0
2025-06-18--18h-49m-58s,59.0,17.0,1.0,43.0,120.0
2025-06-18--18h-49m-58s,72.0,11.0,0.0,37.0,120.0
2025-06-18--18h-49m-58s,54.0,14.0,0.0,52.0,120.0
2025-06-18--18h-49m-58s,61.0,15.0,1.0,43.0,120.0
2025-06-18--18h-49m-58s,49.0,19.0,1.0,51.0,120.0
2025-06-18--18h-49m-58s,52.0,18.0,3.0,47.0,120.0
2025-06-18--18h-49m-58s,52.0,18.0,2.0,48.0,120.0
2025-06-18--18h-49m-58s,57.0,14.0,1.0,48.0,120.0
2025-06-18--18h-49m-58s,61.0,17.0,0.0,42.0,120.0
2025-06-18--18h-49m-58s,70.0,14.0,0.0,36.0,120.0
2025-06-18--18h-49m-58s,53.0,15.0,1.0,51.0,120.0
2025-06-18--18h-49m-58s,54.0,15.0,1.0,50.0,120.0
2025-06-18--18h-49m-58s,52.0,16.0,0.0,52.0,120.0
2025-06-18--18h-49m-58s,47.0,24.0,1.0,48.0,120.0
2025-06-18--18h-49m-58s,59.0,15.0,3.0,43.0,120.0
2025-06-18--18h-49m-58s,62.0,15.0,0.0,43.0,120.0
2025-06-18--18h-49m-58s,62.0,13.0,1.0,44.0,120.0
2025-06-18--18h-49m-58s,60.0,13.0,1.0,46.0,120.0
2025-06-18--18h-49m-58s,65.0,19.0,2.0,34.0,120.0
2025-06-18--18h-49m-58s,61.0,18.0,0.0,41.0,120.0
2025-06-18--18h-49m-58s,59.0,8.0,1.0,52.0,120.0
2025-06-18--18h-49m-58s,64.0,16.0,2.0,38.0,120.0
2025-06-18--18h-49m-58s,61.0,11.0,0.0,48.0,120.0
2025-06-18--18h-49m-58s,60.0,16.0,2.0,42.0,120.0
2025-06-18--18h-49m-58s,57.0,15.0,0.0,48.0,120.0
2025-06-18--18h-49m-58s,60.0,19.0,1.0,40.0,120.0
2025-06-18--18h-49m-58s,66.0,12.0,1.0,41.0,120.0
2025-06-18--18h-49m-58s,71.0,16.0,2.0,31.0,120.0
2025-06-18--18h-49m-58s,60.0,10.0,0.0,50.0,120.0
2025-06-18--18h-49m-58s,55.0,18.0,2.0,45.0,120.0
2025-06-18--18h-49m-58s,69.0,12.0,1.0,38.0,120.0
2025-06-18--18h-49m-58s,61.0,14.0,3.0,42.0,120.0
2025-06-18--18h-49m-58s,59.0,16.0,0.0,45.0,120.0
