data_dir,C,SB,DB_V,DB_H,N
2025-06-21--03h-47m-55s,70.0,1.0,42.0,47.0,160.0
2025-06-21--03h-47m-55s,74.0,1.0,41.0,44.0,160.0
2025-06-21--03h-47m-55s,71.0,1.0,38.0,50.0,160.0
2025-06-21--03h-47m-55s,78.0,1.0,43.0,38.0,160.0
2025-06-21--03h-47m-55s,81.0,1.0,37.0,41.0,160.0
2025-06-21--03h-47m-55s,88.0,3.0,34.0,35.0,160.0
2025-06-21--03h-47m-55s,86.0,2.0,31.0,41.0,160.0
2025-06-21--03h-47m-55s,74.0,1.0,44.0,41.0,160.0
2025-06-21--03h-47m-55s,68.0,2.0,39.0,51.0,160.0
2025-06-21--03h-47m-55s,94.0,3.0,34.0,29.0,160.0
2025-06-21--03h-47m-55s,78.0,1.0,35.0,46.0,160.0
2025-06-21--03h-47m-55s,80.0,1.0,40.0,39.0,160.0
2025-06-21--03h-47m-55s,78.0,2.0,34.0,46.0,160.0
2025-06-21--03h-47m-55s,67.0,1.0,43.0,49.0,160.0
2025-06-21--03h-47m-55s,90.0,1.0,34.0,35.0,160.0
2025-06-21--03h-47m-55s,72.0,1.0,42.0,45.0,160.0
2025-06-21--03h-47m-55s,75.0,1.0,43.0,41.0,160.0
2025-06-21--03h-47m-55s,77.0,1.0,37.0,45.0,160.0
2025-06-21--03h-47m-55s,76.0,1.0,41.0,42.0,160.0
2025-06-21--03h-47m-55s,81.0,1.0,32.0,46.0,160.0
2025-06-21--03h-47m-55s,71.0,1.0,46.0,42.0,160.0
2025-06-21--03h-47m-55s,81.0,0.0,24.0,55.0,160.0
2025-06-21--03h-47m-55s,67.0,3.0,46.0,44.0,160.0
2025-06-21--03h-47m-55s,74.0,0.0,41.0,45.0,160.0
2025-06-21--03h-47m-55s,72.0,2.0,38.0,48.0,160.0
2025-06-21--03h-47m-55s,71.0,3.0,34.0,52.0,160.0
2025-06-21--03h-47m-55s,75.0,0.0,31.0,54.0,160.0
2025-06-21--03h-47m-55s,69.0,2.0,38.0,51.0,160.0
2025-06-21--03h-47m-55s,81.0,2.0,37.0,40.0,160.0
2025-06-21--03h-47m-55s,86.0,1.0,32.0,41.0,160.0
2025-06-21--03h-47m-55s,74.0,0.0,43.0,43.0,160.0
2025-06-21--03h-47m-55s,74.0,0.0,46.0,40.0,160.0
2025-06-21--03h-47m-55s,84.0,0.0,34.0,42.0,160.0
2025-06-21--03h-47m-55s,83.0,2.0,36.0,39.0,160.0
2025-06-21--03h-47m-55s,75.0,1.0,42.0,42.0,160.0
2025-06-21--03h-47m-55s,79.0,0.0,33.0,48.0,160.0
2025-06-21--03h-47m-55s,76.0,2.0,40.0,42.0,160.0
2025-06-21--03h-47m-55s,72.0,0.0,44.0,44.0,160.0
2025-06-21--03h-47m-55s,78.0,1.0,37.0,44.0,160.0
2025-06-21--03h-47m-55s,78.0,3.0,39.0,40.0,160.0
2025-06-21--03h-47m-55s,68.0,2.0,40.0,50.0,160.0
2025-06-21--03h-47m-55s,78.0,0.0,40.0,42.0,160.0
2025-06-21--03h-47m-55s,80.0,0.0,42.0,38.0,160.0
2025-06-21--03h-47m-55s,78.0,1.0,43.0,38.0,160.0
2025-06-21--03h-47m-55s,74.0,0.0,39.0,47.0,160.0
2025-06-21--03h-47m-55s,68.0,3.0,45.0,44.0,160.0
2025-06-21--03h-47m-55s,76.0,1.0,35.0,48.0,160.0
2025-06-21--03h-47m-55s,83.0,0.0,38.0,39.0,160.0
2025-06-21--03h-47m-55s,83.0,0.0,38.0,39.0,160.0
2025-06-21--03h-47m-55s,87.0,1.0,42.0,30.0,160.0
2025-06-21--03h-47m-55s,70.0,0.0,35.0,55.0,160.0
2025-06-21--03h-47m-55s,75.0,0.0,32.0,53.0,160.0
2025-06-21--03h-47m-55s,74.0,0.0,44.0,42.0,160.0
2025-06-21--03h-47m-55s,74.0,0.0,34.0,52.0,160.0
2025-06-21--03h-47m-55s,77.0,0.0,41.0,42.0,160.0
2025-06-21--03h-47m-55s,76.0,3.0,42.0,39.0,160.0
2025-06-21--03h-47m-55s,78.0,3.0,43.0,36.0,160.0
2025-06-21--03h-47m-55s,73.0,1.0,43.0,43.0,160.0
2025-06-21--03h-47m-55s,86.0,0.0,37.0,37.0,160.0
2025-06-21--03h-47m-55s,83.0,1.0,36.0,40.0,160.0
2025-06-21--03h-47m-55s,82.0,2.0,37.0,39.0,160.0
2025-06-21--03h-47m-55s,78.0,0.0,34.0,48.0,160.0
2025-06-21--03h-47m-55s,79.0,1.0,36.0,44.0,160.0
2025-06-21--03h-47m-55s,79.0,0.0,37.0,44.0,160.0
2025-06-21--03h-47m-55s,78.0,3.0,41.0,38.0,160.0
2025-06-21--03h-47m-55s,86.0,1.0,40.0,33.0,160.0
2025-06-21--03h-47m-55s,82.0,0.0,34.0,44.0,160.0
2025-06-21--03h-47m-55s,80.0,1.0,42.0,37.0,160.0
2025-06-21--03h-47m-55s,78.0,0.0,37.0,45.0,160.0
2025-06-21--03h-47m-55s,75.0,1.0,42.0,42.0,160.0
2025-06-21--03h-47m-55s,74.0,0.0,40.0,46.0,160.0
2025-06-21--03h-47m-55s,75.0,1.0,47.0,37.0,160.0
2025-06-21--03h-47m-55s,78.0,0.0,42.0,40.0,160.0
2025-06-21--03h-47m-55s,90.0,0.0,29.0,41.0,160.0
2025-06-21--03h-47m-55s,73.0,1.0,42.0,44.0,160.0
2025-06-21--03h-47m-55s,83.0,1.0,38.0,38.0,160.0
2025-06-21--03h-47m-55s,86.0,1.0,39.0,34.0,160.0
2025-06-21--03h-47m-55s,79.0,2.0,29.0,50.0,160.0
2025-06-21--03h-47m-55s,84.0,3.0,31.0,42.0,160.0
2025-06-21--03h-47m-55s,71.0,2.0,32.0,55.0,160.0
2025-06-21--03h-47m-55s,85.0,1.0,34.0,40.0,160.0
2025-06-21--03h-47m-55s,72.0,0.0,41.0,47.0,160.0
2025-06-21--03h-47m-55s,73.0,1.0,42.0,44.0,160.0
2025-06-21--03h-47m-55s,71.0,0.0,40.0,49.0,160.0
2025-06-21--03h-47m-55s,79.0,2.0,39.0,40.0,160.0
2025-06-21--03h-47m-55s,68.0,0.0,34.0,58.0,160.0
2025-06-21--03h-47m-55s,78.0,3.0,33.0,46.0,160.0
2025-06-21--03h-47m-55s,75.0,1.0,37.0,47.0,160.0
2025-06-21--03h-47m-55s,75.0,1.0,43.0,41.0,160.0
2025-06-21--03h-47m-55s,74.0,0.0,38.0,48.0,160.0
2025-06-21--03h-47m-55s,81.0,0.0,29.0,50.0,160.0
2025-06-21--03h-47m-55s,75.0,1.0,31.0,53.0,160.0
2025-06-21--03h-47m-55s,80.0,0.0,32.0,48.0,160.0
2025-06-21--03h-47m-55s,75.0,2.0,41.0,42.0,160.0
2025-06-21--03h-47m-55s,75.0,1.0,39.0,45.0,160.0
2025-06-21--03h-47m-55s,80.0,0.0,34.0,46.0,160.0
2025-06-21--03h-47m-55s,69.0,1.0,47.0,43.0,160.0
2025-06-21--03h-47m-55s,78.0,0.0,37.0,45.0,160.0
2025-06-21--03h-47m-55s,85.0,1.0,36.0,38.0,160.0
2025-06-21--03h-47m-55s,87.0,0.0,28.0,45.0,160.0
2025-06-21--03h-47m-55s,74.0,1.0,37.0,48.0,160.0
2025-06-21--03h-47m-55s,74.0,2.0,35.0,49.0,160.0
2025-06-21--03h-47m-55s,82.0,1.0,37.0,40.0,160.0
2025-06-21--03h-47m-55s,78.0,2.0,38.0,42.0,160.0
2025-06-21--03h-47m-55s,79.0,3.0,36.0,42.0,160.0
2025-06-21--03h-47m-55s,83.0,0.0,28.0,49.0,160.0
2025-06-21--03h-47m-55s,80.0,1.0,36.0,43.0,160.0
2025-06-21--03h-47m-55s,75.0,0.0,38.0,47.0,160.0
2025-06-21--03h-47m-55s,85.0,1.0,37.0,37.0,160.0
2025-06-21--03h-47m-55s,81.0,0.0,33.0,46.0,160.0
2025-06-21--03h-47m-55s,58.0,1.0,49.0,52.0,160.0
2025-06-21--03h-47m-55s,84.0,2.0,24.0,50.0,160.0
2025-06-21--03h-47m-55s,88.0,0.0,31.0,41.0,160.0
2025-06-21--03h-47m-55s,69.0,2.0,45.0,44.0,160.0
2025-06-21--03h-47m-55s,78.0,0.0,43.0,39.0,160.0
2025-06-21--03h-47m-55s,76.0,1.0,42.0,41.0,160.0
