detector_a_name,detector_b_name,tomography_setting_t,tomography_setting_r,repetition,coincidences,timestamp,data_dir,estimation_label
9,12,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,DB_H
9,11,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,SB
9,10,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,SB
11,12,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,SB
10,12,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,SB
10,11,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,DB_V
1,9,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
1,12,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
1,11,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
1,10,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
1,4,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,DB_H
1,7,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,SB
1,2,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,SB
4,9,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
4,12,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
4,11,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
4,10,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
4,7,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,SB
7,9,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
7,12,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
7,11,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
7,10,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
2,9,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
2,12,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
2,11,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
2,10,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,C
2,4,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,SB
2,7,H,H,0,0,2025-05-30--12h-27m-57s-099525,2025-05-30--12h-27m-45s,DB_V
9,12,H,H,2,0,2025-05-30--12h-27m-57s-144807,2025-05-30--12h-27m-45s,DB_H
9,11,H,H,2,0,2025-05-30--12h-27m-57s-144807,2025-05-30--12h-27m-45s,SB
9,10,H,H,2,0,2025-05-30--12h-27m-57s-144807,2025-05-30--12h-27m-45s,SB
11,12,H,H,2,0,2025-05-30--12h-27m-57s-144807,2025-05-30--12h-27m-45s,SB
10,12,H,H,2,0,2025-05-30--12h-27m-57s-144807,2025-05-30--12h-27m-45s,SB
10,11,H,H,2,0,2025-05-30--12h-27m-57s-144807,2025-05-30--12h-27m-45s,DB_V
1,9,H,H,2,0,2025-05-30--12h-27m-57s-144807,2025-05-30--12h-27m-45s,C
1,12,H,H,2,0,2025-05-30--12h-27m-57s-144807,2025-05-30--12h-27m-45s,C
1,11,H,H,2,0,2025-05-30--12h-27m-57s-144807,2025-05-30--12h-27m-45s,C
1,10,H,H,2,0,2025-05-30--12h-27m-57s-144807,2025-05-30--12h-27m-45s,C
1,4,H,H,2,1,2025-05-30--12h-27m-57s-144807,2025-05-30--12h-27m-45s,DB_H
1,7,H,H,2,0,2025-05-30--12h-27m-57s-144807,2025-05-30--12h-27m-45s,SB
