data_dir,C',HH,SB,VV,N,theta_estimate,delta_phi_estimate,clipped_delta_phi_estimate
2025-06-03--18h-40m-20s,8.0,2.0,0.0,30.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,14.0,0.0,0.0,26.0,40.0,2.278380763520252,,1.5707963267948966
2025-06-03--18h-40m-20s,11.0,1.0,0.0,28.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,12.0,1.0,0.0,27.0,40.0,2.278380763520252,,1.5707963267948966
2025-06-03--18h-40m-20s,11.0,2.0,1.0,26.0,40.0,2.214297435588181,1.2896393359559175,1.2896393359559175
2025-06-03--18h-40m-20s,14.0,0.0,0.0,26.0,40.0,2.278380763520252,,1.5707963267948966
2025-06-03--18h-40m-20s,15.0,1.0,0.0,24.0,40.0,2.183400474843519,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,0.0,1.0,32.0,40.0,2.498091544796509,1.2181495758420318,1.2181495758420318
2025-06-03--18h-40m-20s,6.0,0.0,0.0,34.0,40.0,2.5867816206097216,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,0.0,0.0,32.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,4.0,0.0,27.0,40.0,2.183400474843519,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,1.0,0.0,30.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,1.0,0.0,31.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,12.0,0.0,0.0,28.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,1.0,0.0,31.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,1.0,0.0,31.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,5.0,0.0,0.0,35.0,40.0,2.636232143305636,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,0.0,0.0,32.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,1.0,0.0,29.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,5.0,0.0,1.0,34.0,40.0,2.5867816206097216,1.1571145649952337,1.1571145649952337
2025-06-03--18h-40m-20s,8.0,0.0,0.0,32.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,0.0,1.0,32.0,40.0,2.498091544796509,1.2181495758420318,1.2181495758420318
2025-06-03--18h-40m-20s,6.0,0.0,1.0,33.0,40.0,2.540998526723742,1.191033823212813,1.191033823212813
2025-06-03--18h-40m-20s,11.0,2.0,0.0,27.0,40.0,2.2459278597319283,,1.5707963267948966
2025-06-03--18h-40m-20s,11.0,0.0,1.0,28.0,40.0,2.34619382340565,1.2896393359559175,1.2896393359559175
2025-06-03--18h-40m-20s,8.0,0.0,0.0,32.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,1.0,0.0,29.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,1.0,0.0,29.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,5.0,0.0,2.0,33.0,40.0,2.540998526723742,1.0104716644478993,1.0104716644478993
2025-06-03--18h-40m-20s,5.0,0.0,1.0,34.0,40.0,2.5867816206097216,1.1571145649952337,1.1571145649952337
2025-06-03--18h-40m-20s,11.0,0.0,0.0,29.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,12.0,2.0,0.0,26.0,40.0,2.214297435588181,,1.5707963267948966
2025-06-03--18h-40m-20s,3.0,3.0,1.0,33.0,40.0,2.4188584057763776,1.0516048910611193,1.0516048910611193
2025-06-03--18h-40m-20s,8.0,0.0,0.0,32.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,0.0,0.0,33.0,40.0,2.540998526723742,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,1.0,0.0,30.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,1.0,0.0,33.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,1.0,0.0,30.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,11.0,0.0,0.0,29.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,2.0,0.0,32.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,0.0,0.0,30.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,0.0,0.0,30.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,0.0,0.0,32.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,2.0,0.0,0.0,38.0,40.0,2.824032224298272,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,0.0,1.0,33.0,40.0,2.540998526723742,1.191033823212813,1.191033823212813
2025-06-03--18h-40m-20s,5.0,1.0,1.0,33.0,40.0,2.498091544796509,1.1571145649952337,1.1571145649952337
2025-06-03--18h-40m-20s,7.0,2.0,0.0,31.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,1.0,0.0,31.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,1.0,0.0,32.0,40.0,2.457511421794464,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,0.0,0.0,31.0,40.0,2.457511421794464,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,2.0,0.0,32.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,2.0,0.0,29.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,2.0,0.0,28.0,40.0,2.278380763520252,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,2.0,0.0,29.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,0.0,0.0,30.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,1.0,0.0,32.0,40.0,2.457511421794464,,1.5707963267948966
2025-06-03--18h-40m-20s,11.0,0.0,0.0,29.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,0.0,1.0,32.0,40.0,2.498091544796509,1.2181495758420318,1.2181495758420318
2025-06-03--18h-40m-20s,4.0,2.0,1.0,33.0,40.0,2.457511421794464,1.1128841748018878,1.1128841748018878
2025-06-03--18h-40m-20s,8.0,1.0,0.0,31.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,0.0,0.0,31.0,40.0,2.457511421794464,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,1.0,0.0,30.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,0.0,1.0,33.0,40.0,2.540998526723742,1.191033823212813,1.191033823212813
2025-06-03--18h-40m-20s,9.0,0.0,1.0,30.0,40.0,2.4188584057763776,1.2593400758435374,1.2593400758435374
2025-06-03--18h-40m-20s,12.0,2.0,0.0,26.0,40.0,2.214297435588181,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,0.0,1.0,31.0,40.0,2.457511421794464,1.2404946075822378,1.2404946075822378
2025-06-03--18h-40m-20s,10.0,1.0,0.0,29.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,1.0,1.0,30.0,40.0,2.381830721082478,1.2404946075822378,1.2404946075822378
2025-06-03--18h-40m-20s,8.0,0.0,0.0,32.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,2.0,2.0,27.0,40.0,2.2459278597319283,1.136600129735226,1.136600129735226
2025-06-03--18h-40m-20s,13.0,1.0,0.0,26.0,40.0,2.2459278597319283,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,0.0,0.0,31.0,40.0,2.457511421794464,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,0.0,0.0,33.0,40.0,2.540998526723742,,1.5707963267948966
2025-06-03--18h-40m-20s,3.0,0.0,0.0,37.0,40.0,2.7518319207923185,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,0.0,0.0,32.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,0.0,0.0,32.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,0.0,2.0,28.0,40.0,2.34619382340565,1.1571145649952337,1.1571145649952337
2025-06-03--18h-40m-20s,12.0,0.0,1.0,27.0,40.0,2.3117610289979167,1.3020933021597254,1.3020933021597254
2025-06-03--18h-40m-20s,11.0,0.0,0.0,29.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,0.0,0.0,33.0,40.0,2.540998526723742,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,0.0,0.0,32.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,11.0,1.0,0.0,28.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,1.0,0.0,31.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,0.0,1.0,33.0,40.0,2.540998526723742,1.191033823212813,1.191033823212813
2025-06-03--18h-40m-20s,5.0,3.0,0.0,32.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,2.0,0.0,32.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,12.0,0.0,1.0,27.0,40.0,2.3117610289979167,1.3020933021597254,1.3020933021597254
2025-06-03--18h-40m-20s,7.0,0.0,1.0,32.0,40.0,2.498091544796509,1.2181495758420318,1.2181495758420318
2025-06-03--18h-40m-20s,10.0,1.0,1.0,28.0,40.0,2.3117610289979167,1.2755275092183471,1.2755275092183471
2025-06-03--18h-40m-20s,12.0,0.0,0.0,28.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,0.0,0.0,31.0,40.0,2.457511421794464,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,0.0,0.0,31.0,40.0,2.457511421794464,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,4.0,1.0,29.0,40.0,2.2459278597319283,1.191033823212813,1.191033823212813
2025-06-03--18h-40m-20s,3.0,3.0,0.0,34.0,40.0,2.457511421794464,,1.5707963267948966
2025-06-03--18h-40m-20s,16.0,0.0,0.0,24.0,40.0,2.214297435588181,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,3.0,0.0,28.0,40.0,2.2459278597319283,,1.5707963267948966
2025-06-03--18h-40m-20s,12.0,2.0,0.0,26.0,40.0,2.214297435588181,,1.5707963267948966
2025-06-03--18h-40m-20s,14.0,1.0,0.0,25.0,40.0,2.214297435588181,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,0.0,1.0,29.0,40.0,2.381830721082478,1.2755275092183471,1.2755275092183471
2025-06-03--18h-40m-20s,6.0,0.0,0.0,34.0,40.0,2.5867816206097216,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,0.0,0.0,33.0,40.0,2.540998526723742,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,2.0,1.0,30.0,40.0,2.34619382340565,1.2181495758420318,1.2181495758420318
2025-06-03--18h-40m-20s,11.0,1.0,0.0,28.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,2.0,0.0,28.0,40.0,2.278380763520252,,1.5707963267948966
2025-06-03--18h-40m-20s,11.0,1.0,0.0,28.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,0.0,0.0,34.0,40.0,2.5867816206097216,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,1.0,0.0,29.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,16.0,1.0,1.0,22.0,40.0,2.12351143989168,1.3405006246181816,1.3405006246181816
2025-06-03--18h-40m-20s,8.0,0.0,0.0,32.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,1.0,0.0,30.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,2.0,1.0,27.0,40.0,2.2459278597319283,1.2755275092183471,1.2755275092183471
2025-06-03--18h-40m-20s,12.0,0.0,0.0,28.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,2.0,0.0,28.0,40.0,2.278380763520252,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,0.0,1.0,31.0,40.0,2.457511421794464,1.2404946075822378,1.2404946075822378
2025-06-03--18h-40m-20s,9.0,0.0,0.0,31.0,40.0,2.457511421794464,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,1.0,0.0,32.0,40.0,2.457511421794464,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,0.0,0.0,30.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,13.0,0.0,0.0,27.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,2.0,2.0,0.0,36.0,40.0,2.5867816206097216,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,0.0,1.0,29.0,40.0,2.381830721082478,1.2755275092183471,1.2755275092183471
2025-06-03--18h-40m-20s,11.0,0.0,1.0,28.0,40.0,2.34619382340565,1.2896393359559175,1.2896393359559175
2025-06-03--18h-40m-20s,10.0,0.0,1.0,29.0,40.0,2.381830721082478,1.2755275092183471,1.2755275092183471
2025-06-03--18h-40m-20s,11.0,0.0,0.0,29.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,3.0,0.0,28.0,40.0,2.2459278597319283,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,1.0,1.0,31.0,40.0,2.4188584057763776,1.2181495758420318,1.2181495758420318
2025-06-03--18h-40m-20s,7.0,0.0,1.0,32.0,40.0,2.498091544796509,1.2181495758420318,1.2181495758420318
2025-06-03--18h-40m-20s,13.0,1.0,0.0,26.0,40.0,2.2459278597319283,,1.5707963267948966
2025-06-03--18h-40m-20s,13.0,0.0,0.0,27.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,0.0,1.0,33.0,40.0,2.540998526723742,1.191033823212813,1.191033823212813
2025-06-03--18h-40m-20s,9.0,2.0,0.0,29.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,11.0,0.0,0.0,29.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,12.0,1.0,2.0,25.0,40.0,2.214297435588181,1.191033823212813,1.191033823212813
2025-06-03--18h-40m-20s,12.0,3.0,3.0,22.0,40.0,2.065760358511791,1.1128841748018878,1.1128841748018878
2025-06-03--18h-40m-20s,6.0,1.0,0.0,33.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,12.0,1.0,0.0,27.0,40.0,2.278380763520252,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,2.0,0.0,28.0,40.0,2.278380763520252,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,0.0,0.0,33.0,40.0,2.540998526723742,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,1.0,0.0,29.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,1.0,1.0,32.0,40.0,2.457511421794464,1.191033823212813,1.191033823212813
2025-06-03--18h-40m-20s,7.0,0.0,0.0,33.0,40.0,2.540998526723742,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,1.0,1.0,31.0,40.0,2.4188584057763776,1.2181495758420318,1.2181495758420318
2025-06-03--18h-40m-20s,10.0,3.0,1.0,26.0,40.0,2.183400474843519,1.2755275092183471,1.2755275092183471
2025-06-03--18h-40m-20s,7.0,0.0,0.0,33.0,40.0,2.540998526723742,,1.5707963267948966
2025-06-03--18h-40m-20s,11.0,0.0,0.0,29.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,1.0,0.0,31.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,1.0,0.0,30.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,2.0,1.0,27.0,40.0,2.2459278597319283,1.2755275092183471,1.2755275092183471
2025-06-03--18h-40m-20s,12.0,2.0,0.0,26.0,40.0,2.214297435588181,,1.5707963267948966
2025-06-03--18h-40m-20s,11.0,1.0,0.0,28.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,12.0,2.0,0.0,26.0,40.0,2.214297435588181,,1.5707963267948966
2025-06-03--18h-40m-20s,13.0,0.0,0.0,27.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,2.0,1.0,31.0,40.0,2.381830721082478,1.191033823212813,1.191033823212813
2025-06-03--18h-40m-20s,10.0,0.0,0.0,30.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,2.0,0.0,32.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,1.0,0.0,29.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,0.0,0.0,31.0,40.0,2.457511421794464,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,3.0,1.0,30.0,40.0,2.3117610289979167,1.191033823212813,1.191033823212813
2025-06-03--18h-40m-20s,6.0,1.0,0.0,33.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,11.0,1.0,0.0,28.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,0.0,0.0,30.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,0.0,1.0,31.0,40.0,2.457511421794464,1.2404946075822378,1.2404946075822378
2025-06-03--18h-40m-20s,7.0,2.0,1.0,30.0,40.0,2.34619382340565,1.2181495758420318,1.2181495758420318
2025-06-03--18h-40m-20s,5.0,3.0,0.0,32.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,3.0,1.0,1.0,35.0,40.0,2.5867816206097216,1.0516048910611193,1.0516048910611193
2025-06-03--18h-40m-20s,7.0,0.0,0.0,33.0,40.0,2.540998526723742,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,1.0,1.0,31.0,40.0,2.4188584057763776,1.2181495758420318,1.2181495758420318
2025-06-03--18h-40m-20s,4.0,3.0,0.0,33.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,0.0,1.0,31.0,40.0,2.457511421794464,1.2404946075822378,1.2404946075822378
2025-06-03--18h-40m-20s,8.0,1.0,0.0,31.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,5.0,1.0,0.0,34.0,40.0,2.540998526723742,,1.5707963267948966
2025-06-03--18h-40m-20s,16.0,0.0,0.0,24.0,40.0,2.214297435588181,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,1.0,1.0,32.0,40.0,2.457511421794464,1.191033823212813,1.191033823212813
2025-06-03--18h-40m-20s,10.0,0.0,0.0,30.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,13.0,1.0,0.0,26.0,40.0,2.2459278597319283,,1.5707963267948966
2025-06-03--18h-40m-20s,4.0,1.0,0.0,35.0,40.0,2.5867816206097216,,1.5707963267948966
2025-06-03--18h-40m-20s,12.0,0.0,0.0,28.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,1.0,0.0,29.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,13.0,0.0,0.0,27.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,12.0,0.0,0.0,28.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,13.0,2.0,0.0,25.0,40.0,2.183400474843519,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,1.0,0.0,31.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,5.0,0.0,1.0,34.0,40.0,2.5867816206097216,1.1571145649952337,1.1571145649952337
2025-06-03--18h-40m-20s,9.0,0.0,2.0,29.0,40.0,2.381830721082478,1.136600129735226,1.136600129735226
2025-06-03--18h-40m-20s,7.0,0.0,1.0,32.0,40.0,2.498091544796509,1.2181495758420318,1.2181495758420318
2025-06-03--18h-40m-20s,12.0,1.0,1.0,26.0,40.0,2.2459278597319283,1.3020933021597254,1.3020933021597254
2025-06-03--18h-40m-20s,9.0,0.0,1.0,30.0,40.0,2.4188584057763776,1.2593400758435374,1.2593400758435374
2025-06-03--18h-40m-20s,11.0,2.0,0.0,27.0,40.0,2.2459278597319283,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,0.0,0.0,34.0,40.0,2.5867816206097216,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,0.0,0.0,33.0,40.0,2.540998526723742,,1.5707963267948966
2025-06-03--18h-40m-20s,11.0,1.0,0.0,28.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,2.0,0.0,29.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,2.0,2.0,29.0,40.0,2.3117610289979167,1.0850186097250996,1.0850186097250996
2025-06-03--18h-40m-20s,10.0,0.0,0.0,30.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,3.0,0.0,29.0,40.0,2.278380763520252,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,2.0,1.0,30.0,40.0,2.34619382340565,1.2181495758420318,1.2181495758420318
2025-06-03--18h-40m-20s,10.0,1.0,0.0,29.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,7.0,1.0,1.0,31.0,40.0,2.4188584057763776,1.2181495758420318,1.2181495758420318
2025-06-03--18h-40m-20s,6.0,2.0,0.0,32.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,11.0,1.0,1.0,27.0,40.0,2.278380763520252,1.2896393359559175,1.2896393359559175
2025-06-03--18h-40m-20s,8.0,0.0,0.0,32.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,0.0,0.0,30.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,0.0,0.0,31.0,40.0,2.457511421794464,,1.5707963267948966
2025-06-03--18h-40m-20s,11.0,1.0,0.0,28.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,14.0,1.0,0.0,25.0,40.0,2.214297435588181,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,2.0,0.0,29.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,9.0,1.0,1.0,29.0,40.0,2.34619382340565,1.2593400758435374,1.2593400758435374
2025-06-03--18h-40m-20s,8.0,2.0,0.0,30.0,40.0,2.34619382340565,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,2.0,0.0,32.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,0.0,1.0,31.0,40.0,2.457511421794464,1.2404946075822378,1.2404946075822378
2025-06-03--18h-40m-20s,6.0,1.0,1.0,32.0,40.0,2.457511421794464,1.191033823212813,1.191033823212813
2025-06-03--18h-40m-20s,6.0,0.0,0.0,34.0,40.0,2.5867816206097216,,1.5707963267948966
2025-06-03--18h-40m-20s,13.0,3.0,0.0,24.0,40.0,2.12351143989168,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,0.0,0.0,34.0,40.0,2.5867816206097216,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,2.0,0.0,32.0,40.0,2.4188584057763776,,1.5707963267948966
2025-06-03--18h-40m-20s,10.0,1.0,1.0,28.0,40.0,2.3117610289979167,1.2755275092183471,1.2755275092183471
2025-06-03--18h-40m-20s,10.0,3.0,1.0,26.0,40.0,2.183400474843519,1.2755275092183471,1.2755275092183471
2025-06-03--18h-40m-20s,9.0,1.0,0.0,30.0,40.0,2.381830721082478,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,0.0,0.0,32.0,40.0,2.498091544796509,,1.5707963267948966
2025-06-03--18h-40m-20s,8.0,0.0,2.0,30.0,40.0,2.4188584057763776,1.1128841748018878,1.1128841748018878
2025-06-03--18h-40m-20s,8.0,2.0,1.0,29.0,40.0,2.3117610289979167,1.2404946075822378,1.2404946075822378
2025-06-03--18h-40m-20s,11.0,1.0,0.0,28.0,40.0,2.3117610289979167,,1.5707963267948966
2025-06-03--18h-40m-20s,6.0,1.0,0.0,33.0,40.0,2.498091544796509,,1.5707963267948966
