data_dir,C,DB_H,DB_V,SB,N
2025-05-30--17h-32m-55s,1.5,88.0,5.0,23.5,118.0
2025-05-30--17h-32m-55s,2.0,87.0,2.0,29.5,120.5
2025-05-30--17h-32m-55s,0.5,91.0,1.0,27.0,119.5
2025-05-30--17h-32m-55s,1.5,97.0,2.0,19.0,119.5
2025-05-30--17h-32m-55s,2.5,87.0,2.0,27.5,119.0
2025-05-30--17h-32m-55s,4.0,86.0,5.0,23.0,118.0
2025-05-30--17h-32m-55s,2.0,90.0,3.0,24.0,119.0
2025-05-30--17h-32m-55s,1.5,89.0,4.0,25.0,119.5
2025-05-30--17h-32m-55s,1.0,87.0,4.0,28.0,120.0
2025-05-30--17h-32m-55s,3.0,93.0,2.0,21.0,119.0
2025-05-30--17h-32m-55s,2.0,92.0,3.0,23.5,120.5
2025-05-30--17h-32m-55s,1.0,102.0,2.0,14.0,119.0
2025-05-30--17h-32m-55s,2.5,93.0,1.0,24.0,120.5
2025-05-30--17h-32m-55s,2.0,92.0,1.0,26.5,121.5
2025-05-30--17h-32m-55s,3.5,92.0,4.0,20.5,120.0
2025-05-30--17h-32m-55s,3.5,88.0,3.0,23.5,118.0
2025-05-30--17h-32m-55s,1.5,88.0,3.0,26.5,119.0
2025-05-30--17h-32m-55s,2.0,93.0,2.0,21.0,118.0
2025-05-30--17h-32m-55s,3.0,93.0,1.0,24.5,121.5
2025-05-30--17h-32m-55s,2.0,84.0,3.0,29.5,118.5
2025-05-30--17h-32m-55s,2.0,91.0,2.0,25.0,120.0
2025-05-30--17h-32m-55s,1.5,91.0,1.0,26.0,119.5
2025-05-30--17h-32m-55s,0.5,91.0,5.0,22.5,119.0
2025-05-30--17h-32m-55s,1.5,88.0,2.0,28.0,119.5
2025-05-30--17h-32m-55s,3.0,90.0,4.0,21.0,118.0
2025-05-30--17h-32m-55s,2.0,92.0,3.0,22.5,119.5
2025-05-30--17h-32m-55s,2.5,91.0,1.0,26.5,121.0
2025-05-30--17h-32m-55s,4.0,92.0,2.0,22.5,120.5
2025-05-30--17h-32m-55s,2.0,81.0,5.0,30.5,118.5
2025-05-30--17h-32m-55s,3.0,88.0,1.0,28.0,120.0
2025-05-30--17h-32m-55s,1.0,84.0,5.0,31.0,121.0
2025-05-30--17h-32m-55s,2.5,86.0,4.0,26.5,119.0
2025-05-30--17h-32m-55s,1.5,87.0,2.0,29.0,119.5
2025-05-30--17h-32m-55s,1.5,90.0,4.0,23.5,119.0
2025-05-30--17h-32m-55s,2.0,95.0,2.0,20.5,119.5
2025-05-30--17h-32m-55s,3.0,86.0,6.0,25.0,120.0
2025-05-30--17h-32m-55s,1.0,96.0,3.0,19.5,119.5
2025-05-30--17h-32m-55s,2.5,96.0,0.0,23.0,121.5
2025-05-30--17h-32m-55s,0.0,97.0,0.0,20.0,117.0
2025-05-30--17h-32m-55s,4.5,90.0,2.0,21.5,118.0
2025-05-30--17h-32m-55s,2.0,90.0,2.0,27.5,121.5
2025-05-30--17h-32m-55s,4.0,89.0,2.0,25.0,120.0
2025-05-30--17h-32m-55s,5.0,83.0,3.0,29.0,120.0
2025-05-30--17h-32m-55s,2.5,90.0,2.0,27.0,121.5
2025-05-30--17h-32m-55s,0.5,87.0,3.0,29.0,119.5
2025-05-30--17h-32m-55s,1.5,92.0,2.0,24.0,119.5
2025-05-30--17h-32m-55s,2.0,82.0,4.0,29.0,117.0
2025-05-30--17h-32m-55s,1.5,89.0,3.0,26.0,119.5
2025-05-30--17h-32m-55s,3.0,89.0,6.0,22.5,120.5
2025-05-30--17h-32m-55s,3.5,88.0,3.0,24.5,119.0
2025-05-30--17h-32m-55s,1.5,88.0,1.0,28.0,118.5
2025-05-30--17h-32m-55s,2.0,92.0,1.0,24.5,119.5
2025-05-30--17h-32m-55s,3.0,84.0,2.0,31.0,120.0
2025-05-30--17h-32m-55s,2.0,91.0,3.0,25.0,121.0
2025-05-30--17h-32m-55s,0.5,90.0,2.0,24.5,117.0
2025-05-30--17h-32m-55s,1.5,94.0,3.0,20.5,119.0
2025-05-30--17h-32m-55s,1.0,84.0,3.0,30.5,118.5
2025-05-30--17h-32m-55s,3.0,93.0,5.0,19.5,120.5
2025-05-30--17h-32m-55s,1.0,92.0,0.0,25.5,118.5
2025-05-30--17h-32m-55s,1.5,88.0,1.0,30.0,120.5
2025-05-30--17h-32m-55s,1.5,97.0,2.0,20.0,120.5
2025-05-30--17h-32m-55s,1.0,94.0,4.0,19.5,118.5
2025-05-30--17h-32m-55s,3.5,95.0,2.0,18.5,119.0
2025-05-30--17h-32m-55s,2.0,87.0,3.0,25.5,117.5
2025-05-30--17h-32m-55s,3.0,95.0,3.0,20.0,121.0
2025-05-30--17h-32m-55s,1.0,89.0,4.0,25.0,119.0
2025-05-30--17h-32m-55s,0.5,92.0,3.0,24.0,119.5
2025-05-30--17h-32m-55s,3.5,90.0,1.0,25.0,119.5
2025-05-30--17h-32m-55s,4.0,88.0,0.0,27.0,119.0
2025-05-30--17h-32m-55s,2.0,89.0,2.0,25.5,118.5
2025-05-30--17h-32m-55s,1.5,89.0,3.0,25.5,119.0
2025-05-30--17h-32m-55s,2.5,89.0,4.0,25.0,120.5
2025-05-30--17h-32m-55s,2.0,95.0,2.0,23.0,122.0
2025-05-30--17h-32m-55s,2.5,84.0,3.0,28.5,118.0
2025-05-30--17h-32m-55s,4.5,95.0,2.0,20.5,122.0
2025-05-30--17h-32m-55s,2.0,83.0,6.0,30.0,121.0
2025-05-30--17h-32m-55s,1.5,92.0,3.0,23.5,120.0
2025-05-30--17h-32m-55s,4.0,93.0,1.0,22.5,120.5
2025-05-30--17h-32m-55s,1.5,96.0,1.0,22.0,120.5
2025-05-30--17h-32m-55s,2.0,82.0,2.0,32.5,118.5
2025-05-30--17h-32m-55s,0.5,94.0,3.0,22.0,119.5
2025-05-30--17h-32m-55s,3.0,91.0,1.0,24.0,119.0
2025-05-30--17h-32m-55s,2.0,83.0,2.0,30.5,117.5
2025-05-30--17h-32m-55s,3.5,96.0,1.0,20.0,120.5
2025-05-30--17h-32m-55s,2.0,93.0,2.0,24.0,121.0
2025-05-30--17h-32m-55s,1.5,92.0,3.0,24.0,120.5
2025-05-30--17h-32m-55s,3.0,93.0,1.0,24.0,121.0
2025-05-30--17h-32m-55s,2.5,88.0,4.0,27.5,122.0
2025-05-30--17h-32m-55s,2.0,88.0,1.0,28.5,119.5
2025-05-30--17h-32m-55s,1.5,97.0,2.0,18.5,119.0
2025-05-30--17h-32m-55s,2.5,89.0,1.0,28.5,121.0
2025-05-30--17h-32m-55s,4.5,91.0,4.0,19.5,119.0
2025-05-30--17h-32m-55s,1.0,90.0,3.0,23.0,117.0
2025-05-30--17h-32m-55s,1.0,88.0,5.0,24.5,118.5
2025-05-30--17h-32m-55s,3.0,89.0,2.0,26.5,120.5
2025-05-30--17h-32m-55s,2.0,91.0,4.0,22.5,119.5
2025-05-30--17h-32m-55s,2.0,90.0,1.0,25.5,118.5
2025-05-30--17h-32m-55s,3.0,93.0,2.0,24.0,122.0
2025-05-30--17h-32m-55s,1.5,92.0,3.0,24.0,120.5
2025-05-30--17h-32m-55s,3.5,89.0,7.0,21.5,121.0
2025-05-30--17h-32m-55s,2.0,85.0,7.0,25.0,119.0
2025-05-30--17h-32m-55s,2.5,87.0,2.0,27.0,118.5
2025-05-30--17h-32m-55s,2.5,93.0,2.0,21.0,118.5
2025-05-30--17h-32m-55s,2.0,90.0,3.0,25.5,120.5
2025-05-30--17h-32m-55s,1.5,93.0,1.0,22.5,118.0
2025-05-30--17h-32m-55s,2.5,93.0,1.0,23.5,120.0
2025-05-30--17h-32m-55s,1.5,95.0,3.0,22.5,122.0
2025-05-30--17h-32m-55s,3.0,94.0,0.0,23.5,120.5
2025-05-30--17h-32m-55s,2.0,90.0,4.0,24.0,120.0
2025-05-30--17h-32m-55s,5.0,90.0,2.0,23.5,120.5
2025-05-30--17h-32m-55s,4.5,89.0,2.0,21.5,117.0
2025-05-30--17h-32m-55s,2.5,95.0,3.0,18.5,119.0
2025-05-30--17h-32m-55s,3.5,95.0,5.0,16.5,120.0
2025-05-30--17h-32m-55s,3.0,91.0,4.0,19.5,117.5
2025-05-30--17h-32m-55s,1.5,97.0,0.0,22.0,120.5
2025-05-30--17h-32m-55s,4.0,94.0,3.0,19.5,120.5
2025-05-30--17h-32m-55s,2.5,95.0,0.0,21.5,119.0
2025-05-30--17h-32m-55s,3.5,91.0,2.0,23.5,120.0
2025-05-30--17h-32m-55s,2.0,93.0,2.0,23.0,120.0
2025-05-30--17h-32m-55s,3.0,82.0,8.0,27.5,120.5
2025-05-30--17h-32m-55s,3.5,88.0,2.0,27.0,120.5
2025-05-30--17h-32m-55s,2.5,92.0,1.0,23.0,118.5
2025-05-30--17h-32m-55s,4.0,86.0,3.0,26.5,119.5
2025-05-30--17h-32m-55s,2.5,90.0,3.0,25.5,121.0
2025-05-30--17h-32m-55s,2.5,87.0,2.0,28.0,119.5
2025-05-30--17h-32m-55s,1.5,92.0,1.0,23.5,118.0
2025-05-30--17h-32m-55s,2.5,84.0,3.0,29.0,118.5
2025-05-30--17h-32m-55s,3.0,91.0,0.0,25.5,119.5
2025-05-30--17h-32m-55s,1.0,96.0,0.0,21.5,118.5
2025-05-30--17h-32m-55s,1.0,90.0,2.0,26.0,119.0
2025-05-30--17h-32m-55s,1.5,90.0,3.0,23.0,117.5
2025-05-30--17h-32m-55s,4.5,91.0,1.0,24.5,121.0
2025-05-30--17h-32m-55s,3.0,90.0,3.0,26.5,122.5
2025-05-30--17h-32m-55s,4.0,91.0,1.0,24.0,120.0
2025-05-30--17h-32m-55s,0.5,92.0,4.0,22.5,119.0
2025-05-30--17h-32m-55s,1.0,94.0,5.0,18.5,118.5
2025-05-30--17h-32m-55s,1.0,86.0,5.0,28.0,120.0
2025-05-30--17h-32m-55s,2.0,86.0,7.0,25.5,120.5
2025-05-30--17h-32m-55s,3.0,95.0,1.0,21.0,120.0
2025-05-30--17h-32m-55s,1.5,91.0,1.0,26.5,120.0
2025-05-30--17h-32m-55s,3.0,99.0,2.0,16.5,120.5
2025-05-30--17h-32m-55s,3.0,85.0,3.0,30.0,121.0
2025-05-30--17h-32m-55s,2.0,93.0,3.0,20.0,118.0
2025-05-30--17h-32m-55s,2.0,94.0,2.0,22.5,120.5
2025-05-30--17h-32m-55s,3.0,87.0,2.0,27.5,119.5
2025-05-30--17h-32m-55s,3.5,82.0,4.0,29.0,118.5
2025-05-30--17h-32m-55s,3.0,86.0,2.0,27.0,118.0
2025-05-30--17h-32m-55s,1.5,92.0,1.0,24.5,119.0
2025-05-30--17h-32m-55s,3.5,88.0,1.0,28.5,121.0
2025-05-30--17h-32m-55s,4.5,84.0,2.0,29.0,119.5
2025-05-30--17h-32m-55s,4.0,91.0,0.0,24.5,119.5
2025-05-30--17h-32m-55s,0.0,94.0,2.0,24.5,120.5
