data_dir,C',HH,SB,VV,N,theta_estimate,delta_phi_estimate,clipped_delta_phi_estimate
2025-07-07--14h-45m-36s,0.0,1.0,9.0,30.0,40.0,2.381830721082478,,0.0
2025-07-07--14h-45m-36s,0.0,3.0,11.0,26.0,40.0,2.183400474843519,,0.0
2025-07-07--14h-45m-36s,0.0,0.0,7.0,33.0,40.0,2.540998526723742,,0.0
2025-07-07--14h-45m-36s,1.0,1.0,11.0,27.0,40.0,2.278380763520252,0.26689830611784693,0.26689830611784693
2025-07-07--14h-45m-36s,0.0,4.0,12.0,24.0,40.0,2.0943951023931957,,0.0
2025-07-07--14h-45m-36s,1.0,0.0,12.0,27.0,40.0,2.3117610289979167,0.25358158064826314,0.25358158064826314
2025-07-07--14h-45m-36s,2.0,0.0,11.0,27.0,40.0,2.3117610289979167,0.3869474191522863,0.3869474191522863
2025-07-07--14h-45m-36s,0.0,1.0,15.0,24.0,40.0,2.183400474843519,,0.0
2025-07-07--14h-45m-36s,0.0,1.0,10.0,29.0,40.0,2.34619382340565,,0.0
2025-07-07--14h-45m-36s,0.0,1.0,11.0,28.0,40.0,2.3117610289979167,,0.0
2025-07-07--14h-45m-36s,1.0,2.0,9.0,28.0,40.0,2.278380763520252,0.2990150686917748,0.2990150686917748
2025-07-07--14h-45m-36s,0.0,0.0,7.0,33.0,40.0,2.540998526723742,,0.0
2025-07-07--14h-45m-36s,1.0,0.0,8.0,31.0,40.0,2.457511421794464,0.3188313086384554,0.3188313086384554
2025-07-07--14h-45m-36s,1.0,1.0,11.0,27.0,40.0,2.278380763520252,0.26689830611784693,0.26689830611784693
2025-07-07--14h-45m-36s,1.0,1.0,14.0,24.0,40.0,2.183400474843519,0.23082719937082688,0.23082719937082688
2025-07-07--14h-45m-36s,0.0,1.0,7.0,32.0,40.0,2.457511421794464,,0.0
2025-07-07--14h-45m-36s,0.0,0.0,10.0,30.0,40.0,2.4188584057763776,,0.0
2025-07-07--14h-45m-36s,1.0,0.0,7.0,32.0,40.0,2.498091544796509,0.3422040516914228,0.3422040516914228
2025-07-07--14h-45m-36s,0.0,1.0,8.0,31.0,40.0,2.4188584057763776,,0.0
2025-07-07--14h-45m-36s,0.0,0.0,12.0,28.0,40.0,2.34619382340565,,0.0
2025-07-07--14h-45m-36s,0.0,2.0,11.0,27.0,40.0,2.2459278597319283,,0.0
2025-07-07--14h-45m-36s,0.0,0.0,11.0,29.0,40.0,2.381830721082478,,0.0
2025-07-07--14h-45m-36s,0.0,1.0,13.0,26.0,40.0,2.2459278597319283,,0.0
2025-07-07--14h-45m-36s,1.0,0.0,10.0,29.0,40.0,2.381830721082478,0.2819012538574933,0.2819012538574933
2025-07-07--14h-45m-36s,0.0,1.0,8.0,31.0,40.0,2.4188584057763776,,0.0
2025-07-07--14h-45m-36s,0.0,1.0,9.0,30.0,40.0,2.381830721082478,,0.0
2025-07-07--14h-45m-36s,2.0,2.0,6.0,30.0,40.0,2.34619382340565,0.5140020358960511,0.5140020358960511
2025-07-07--14h-45m-36s,0.0,1.0,9.0,30.0,40.0,2.381830721082478,,0.0
2025-07-07--14h-45m-36s,0.0,1.0,11.0,28.0,40.0,2.3117610289979167,,0.0
2025-07-07--14h-45m-36s,0.0,2.0,12.0,26.0,40.0,2.214297435588181,,0.0
2025-07-07--14h-45m-36s,0.0,0.0,13.0,27.0,40.0,2.3117610289979167,,0.0
2025-07-07--14h-45m-36s,1.0,0.0,16.0,23.0,40.0,2.183400474843519,0.21191365186687078,0.21191365186687078
2025-07-07--14h-45m-36s,0.0,0.0,11.0,29.0,40.0,2.381830721082478,,0.0
