data_dir,C',HH,SB,VV,N,theta_estimate,delta_phi_estimate,clipped_delta_phi_estimate
2025-06-19--17h-09m-16s,0.0,2.0,18.0,20.0,40.0,2.037561665842193,,0.0
2025-06-19--17h-09m-16s,0.0,4.0,12.0,24.0,40.0,2.0943951023931957,,0.0
2025-06-19--17h-09m-16s,0.0,2.0,16.0,22.0,40.0,2.0943951023931957,,0.0
2025-06-19--17h-09m-16s,0.0,3.0,16.0,21.0,40.0,2.037561665842193,,0.0
2025-06-19--17h-09m-16s,0.0,5.0,15.0,20.0,40.0,1.9551931012905357,,0.0
2025-06-19--17h-09m-16s,2.0,2.0,15.0,21.0,40.0,2.065760358511791,0.34097019690349056,0.34097019690349056
2025-06-19--17h-09m-16s,1.0,3.0,15.0,21.0,40.0,2.037561665842193,0.23855596415673905,0.23855596415673905
2025-06-19--17h-09m-16s,0.0,3.0,16.0,21.0,40.0,2.037561665842193,,0.0
2025-06-19--17h-09m-16s,0.0,3.0,21.0,16.0,40.0,1.9018080548841911,,0.0
2025-06-19--17h-09m-16s,0.0,1.0,14.0,25.0,40.0,2.214297435588181,,0.0
2025-06-19--17h-09m-16s,0.0,2.0,15.0,23.0,40.0,2.12351143989168,,0.0
2025-06-19--17h-09m-16s,0.0,3.0,21.0,16.0,40.0,1.9018080548841911,,0.0
2025-06-19--17h-09m-16s,0.0,3.0,13.0,24.0,40.0,2.12351143989168,,0.0
2025-06-19--17h-09m-16s,0.0,3.0,16.0,21.0,40.0,2.037561665842193,,0.0
2025-06-19--17h-09m-16s,0.0,0.0,15.0,25.0,40.0,2.2459278597319283,,0.0
2025-06-19--17h-09m-16s,0.0,4.0,9.0,27.0,40.0,2.183400474843519,,0.0
2025-06-19--17h-09m-16s,0.0,1.0,18.0,21.0,40.0,2.0943951023931957,,0.0
2025-06-19--17h-09m-16s,0.0,4.0,16.0,20.0,40.0,1.9823131728623846,,0.0
2025-06-19--17h-09m-16s,0.0,3.0,16.0,21.0,40.0,2.037561665842193,,0.0
2025-06-19--17h-09m-16s,1.0,3.0,14.0,22.0,40.0,2.065760358511791,0.24760952166713798,0.24760952166713798
2025-06-19--17h-09m-16s,0.0,5.0,15.0,20.0,40.0,1.9551931012905357,,0.0
2025-06-19--17h-09m-16s,0.0,4.0,12.0,24.0,40.0,2.0943951023931957,,0.0
2025-06-19--17h-09m-16s,0.0,0.0,22.0,18.0,40.0,2.037561665842193,,0.0
2025-06-19--17h-09m-16s,1.0,2.0,18.0,19.0,40.0,2.009758212404657,0.21572267498825146,0.21572267498825146
2025-06-19--17h-09m-16s,0.0,2.0,20.0,18.0,40.0,1.9823131728623846,,0.0
2025-06-19--17h-09m-16s,0.0,3.0,17.0,20.0,40.0,2.009758212404657,,0.0
2025-06-19--17h-09m-16s,0.0,3.0,11.0,26.0,40.0,2.183400474843519,,0.0
2025-06-19--17h-09m-16s,0.0,2.0,19.0,19.0,40.0,2.009758212404657,,0.0
2025-06-19--17h-09m-16s,0.0,3.0,18.0,19.0,40.0,1.9823131728623846,,0.0
2025-06-19--17h-09m-16s,0.0,2.0,20.0,18.0,40.0,1.9823131728623846,,0.0
2025-06-19--17h-09m-16s,0.0,1.0,10.0,29.0,40.0,2.34619382340565,,0.0
2025-06-19--17h-09m-16s,0.0,1.0,16.0,23.0,40.0,2.15316056466364,,0.0
