data_dir,C',SB,VV,HH,N
2025-06-19--17h-50m-00s,94.0,3.0,25.0,78.0,200.0
2025-06-19--17h-50m-00s,89.0,2.0,28.0,81.0,200.0
2025-06-19--17h-50m-00s,98.0,0.0,16.0,86.0,200.0
2025-06-19--17h-50m-00s,79.0,2.0,34.0,85.0,200.0
2025-06-19--17h-50m-00s,68.0,4.0,28.0,100.0,200.0
2025-06-19--17h-50m-00s,91.0,1.0,29.0,79.0,200.0
2025-06-19--17h-50m-00s,89.0,1.0,24.0,86.0,200.0
2025-06-19--17h-50m-00s,89.0,0.0,23.0,88.0,200.0
2025-06-19--17h-50m-00s,81.0,3.0,27.0,89.0,200.0
2025-06-19--17h-50m-00s,78.0,2.0,23.0,97.0,200.0
2025-06-19--17h-50m-00s,85.0,0.0,31.0,84.0,200.0
2025-06-19--17h-50m-00s,90.0,1.0,23.0,86.0,200.0
2025-06-19--17h-50m-00s,88.0,3.0,28.0,81.0,200.0
2025-06-19--17h-50m-00s,90.0,2.0,26.0,82.0,200.0
2025-06-19--17h-50m-00s,89.0,1.0,19.0,91.0,200.0
2025-06-19--17h-50m-00s,92.0,3.0,22.0,83.0,200.0
2025-06-19--17h-50m-00s,91.0,2.0,31.0,76.0,200.0
2025-06-19--17h-50m-00s,90.0,4.0,26.0,80.0,200.0
2025-06-19--17h-50m-00s,77.0,5.0,22.0,96.0,200.0
2025-06-19--17h-50m-00s,77.0,4.0,31.0,88.0,200.0
2025-06-19--17h-50m-00s,88.0,1.0,27.0,84.0,200.0
2025-06-19--17h-50m-00s,70.0,1.0,31.0,98.0,200.0
2025-06-19--17h-50m-00s,92.0,0.0,26.0,82.0,200.0
2025-06-19--17h-50m-00s,80.0,4.0,34.0,82.0,200.0
2025-06-19--17h-50m-00s,91.0,1.0,21.0,87.0,200.0
2025-06-19--17h-50m-00s,98.0,1.0,22.0,79.0,200.0
2025-06-19--17h-50m-00s,94.0,1.0,30.0,75.0,200.0
2025-06-19--17h-50m-00s,96.0,2.0,24.0,78.0,200.0
2025-06-19--17h-50m-00s,87.0,0.0,31.0,82.0,200.0
2025-06-19--17h-50m-00s,76.0,2.0,30.0,92.0,200.0
2025-06-19--17h-50m-00s,97.0,1.0,21.0,81.0,200.0
2025-06-19--17h-50m-00s,95.0,1.0,22.0,82.0,200.0
2025-06-19--17h-50m-00s,83.0,1.0,26.0,90.0,200.0
2025-06-19--17h-50m-00s,79.0,2.0,32.0,87.0,200.0
2025-06-19--17h-50m-00s,87.0,1.0,24.0,88.0,200.0
2025-06-19--17h-50m-00s,79.0,0.0,35.0,86.0,200.0
2025-06-19--17h-50m-00s,94.0,0.0,26.0,80.0,200.0
2025-06-19--17h-50m-00s,102.0,2.0,24.0,72.0,200.0
2025-06-19--17h-50m-00s,89.0,0.0,26.0,85.0,200.0
2025-06-19--17h-50m-00s,79.0,0.0,26.0,95.0,200.0
2025-06-19--17h-50m-00s,102.0,0.0,28.0,70.0,200.0
2025-06-19--17h-50m-00s,89.0,1.0,23.0,87.0,200.0
2025-06-19--17h-50m-00s,86.0,0.0,26.0,88.0,200.0
2025-06-19--17h-50m-00s,81.0,2.0,29.0,88.0,200.0
2025-06-19--17h-50m-00s,94.0,1.0,24.0,81.0,200.0
2025-06-19--17h-50m-00s,99.0,2.0,28.0,71.0,200.0
2025-06-19--17h-50m-00s,86.0,1.0,25.0,88.0,200.0
2025-06-19--17h-50m-00s,90.0,1.0,29.0,80.0,200.0
2025-06-19--17h-50m-00s,78.0,1.0,27.0,94.0,200.0
2025-06-19--17h-50m-00s,92.0,0.0,28.0,80.0,200.0
2025-06-19--17h-50m-00s,80.0,1.0,28.0,91.0,200.0
2025-06-19--17h-50m-00s,85.0,1.0,23.0,91.0,200.0
2025-06-19--17h-50m-00s,88.0,0.0,26.0,86.0,200.0
2025-06-19--17h-50m-00s,88.0,1.0,31.0,80.0,200.0
2025-06-19--17h-50m-00s,87.0,1.0,25.0,87.0,200.0
2025-06-19--17h-50m-00s,79.0,3.0,34.0,84.0,200.0
2025-06-19--17h-50m-00s,82.0,2.0,34.0,82.0,200.0
2025-06-19--17h-50m-00s,74.0,1.0,30.0,95.0,200.0
2025-06-19--17h-50m-00s,96.0,2.0,12.0,90.0,200.0
2025-06-19--17h-50m-00s,85.0,2.0,25.0,88.0,200.0
2025-06-19--17h-50m-00s,83.0,1.0,34.0,82.0,200.0
2025-06-19--17h-50m-00s,87.0,1.0,26.0,86.0,200.0
2025-06-19--17h-50m-00s,93.0,2.0,29.0,76.0,200.0
2025-06-19--17h-50m-00s,69.0,0.0,30.0,101.0,200.0
2025-06-19--17h-50m-00s,87.0,2.0,23.0,88.0,200.0
2025-06-19--17h-50m-00s,100.0,3.0,28.0,69.0,200.0
2025-06-19--17h-50m-00s,86.0,0.0,30.0,84.0,200.0
2025-06-19--17h-50m-00s,87.0,1.0,35.0,77.0,200.0
2025-06-19--17h-50m-00s,78.0,2.0,20.0,100.0,200.0
2025-06-19--17h-50m-00s,92.0,0.0,25.0,83.0,200.0
2025-06-19--17h-50m-00s,88.0,0.0,20.0,92.0,200.0
2025-06-19--17h-50m-00s,87.0,0.0,24.0,89.0,200.0
2025-06-19--17h-50m-00s,84.0,1.0,26.0,89.0,200.0
2025-06-19--17h-50m-00s,87.0,2.0,22.0,89.0,200.0
2025-06-19--17h-50m-00s,81.0,3.0,17.0,99.0,200.0
2025-06-19--17h-50m-00s,89.0,1.0,26.0,84.0,200.0
2025-06-19--17h-50m-00s,89.0,3.0,25.0,83.0,200.0
2025-06-19--17h-50m-00s,77.0,2.0,32.0,89.0,200.0
2025-06-19--17h-50m-00s,79.0,1.0,28.0,92.0,200.0
2025-06-19--17h-50m-00s,76.0,0.0,32.0,92.0,200.0
2025-06-19--17h-50m-00s,87.0,1.0,27.0,85.0,200.0
2025-06-19--17h-50m-00s,82.0,2.0,24.0,92.0,200.0
2025-06-19--17h-50m-00s,91.0,1.0,24.0,84.0,200.0
2025-06-19--17h-50m-00s,86.0,1.0,24.0,89.0,200.0
2025-06-19--17h-50m-00s,82.0,0.0,20.0,98.0,200.0
2025-06-19--17h-50m-00s,85.0,1.0,28.0,86.0,200.0
2025-06-19--17h-50m-00s,88.0,0.0,25.0,87.0,200.0
2025-06-19--17h-50m-00s,79.0,1.0,32.0,88.0,200.0
2025-06-19--17h-50m-00s,89.0,3.0,30.0,78.0,200.0
2025-06-19--17h-50m-00s,71.0,1.0,35.0,93.0,200.0
2025-06-19--17h-50m-00s,97.0,1.0,22.0,80.0,200.0
2025-06-19--17h-50m-00s,97.0,0.0,26.0,77.0,200.0
2025-06-19--17h-50m-00s,98.0,3.0,22.0,77.0,200.0
2025-06-19--17h-50m-00s,82.0,0.0,25.0,93.0,200.0
2025-06-19--17h-50m-00s,86.0,0.0,25.0,89.0,200.0
2025-06-19--17h-50m-00s,76.0,3.0,21.0,100.0,200.0
2025-06-19--17h-50m-00s,85.0,2.0,25.0,88.0,200.0
2025-06-19--17h-50m-00s,85.0,1.0,27.0,87.0,200.0
2025-06-19--17h-50m-00s,94.0,1.0,22.0,83.0,200.0
2025-06-19--17h-50m-00s,90.0,2.0,25.0,83.0,200.0
2025-06-19--17h-50m-00s,91.0,0.0,17.0,92.0,200.0
2025-06-19--17h-50m-00s,85.0,2.0,23.0,90.0,200.0
2025-06-19--17h-50m-00s,90.0,0.0,26.0,84.0,200.0
2025-06-19--17h-50m-00s,81.0,1.0,34.0,84.0,200.0
2025-06-19--17h-50m-00s,97.0,2.0,28.0,73.0,200.0
2025-06-19--17h-50m-00s,86.0,0.0,22.0,92.0,200.0
2025-06-19--17h-50m-00s,87.0,0.0,32.0,81.0,200.0
2025-06-19--17h-50m-00s,93.0,0.0,27.0,80.0,200.0
2025-06-19--17h-50m-00s,86.0,1.0,30.0,83.0,200.0
2025-06-19--17h-50m-00s,85.0,1.0,22.0,92.0,200.0
2025-06-19--17h-50m-00s,87.0,2.0,29.0,82.0,200.0
2025-06-19--17h-50m-00s,85.0,0.0,25.0,90.0,200.0
2025-06-19--17h-50m-00s,88.0,1.0,31.0,80.0,200.0
2025-06-19--17h-50m-00s,76.0,2.0,29.0,93.0,200.0
2025-06-19--17h-50m-00s,83.0,0.0,30.0,87.0,200.0
2025-06-19--17h-50m-00s,89.0,2.0,28.0,81.0,200.0
2025-06-19--17h-50m-00s,92.0,2.0,21.0,85.0,200.0
2025-06-19--17h-50m-00s,90.0,1.0,29.0,80.0,200.0
2025-06-19--17h-50m-00s,87.0,1.0,21.0,91.0,200.0
2025-06-19--17h-50m-00s,74.0,0.0,27.0,99.0,200.0
2025-06-19--17h-50m-00s,80.0,0.0,24.0,96.0,200.0
2025-06-19--17h-50m-00s,76.0,1.0,27.0,96.0,200.0
2025-06-19--17h-50m-00s,77.0,0.0,27.0,96.0,200.0
2025-06-19--17h-50m-00s,88.0,1.0,34.0,77.0,200.0
2025-06-19--17h-50m-00s,87.0,2.0,26.0,85.0,200.0
2025-06-19--17h-50m-00s,88.0,4.0,33.0,75.0,200.0
2025-06-19--17h-50m-00s,74.0,0.0,30.0,96.0,200.0
2025-06-19--17h-50m-00s,97.0,2.0,25.0,76.0,200.0
2025-06-19--17h-50m-00s,90.0,1.0,19.0,90.0,200.0
2025-06-19--17h-50m-00s,87.0,5.0,25.0,83.0,200.0
2025-06-19--17h-50m-00s,86.0,2.0,28.0,84.0,200.0
2025-06-19--17h-50m-00s,86.0,1.0,23.0,90.0,200.0
2025-06-19--17h-50m-00s,89.0,0.0,27.0,84.0,200.0
2025-06-19--17h-50m-00s,86.0,0.0,34.0,80.0,200.0
2025-06-19--17h-50m-00s,81.0,0.0,26.0,93.0,200.0
2025-06-19--17h-50m-00s,92.0,1.0,21.0,86.0,200.0
2025-06-19--17h-50m-00s,84.0,5.0,25.0,86.0,200.0
2025-06-19--17h-50m-00s,91.0,1.0,21.0,87.0,200.0
2025-06-19--17h-50m-00s,77.0,0.0,31.0,92.0,200.0
2025-06-19--17h-50m-00s,78.0,2.0,31.0,89.0,200.0
2025-06-19--17h-50m-00s,97.0,1.0,27.0,75.0,200.0
2025-06-19--17h-50m-00s,80.0,2.0,32.0,86.0,200.0
2025-06-19--17h-50m-00s,90.0,1.0,32.0,77.0,200.0
2025-06-19--17h-50m-00s,79.0,1.0,32.0,88.0,200.0
2025-06-19--17h-50m-00s,90.0,2.0,26.0,82.0,200.0
2025-06-19--17h-50m-00s,83.0,1.0,29.0,87.0,200.0
2025-06-19--17h-50m-00s,88.0,2.0,26.0,84.0,200.0
2025-06-19--17h-50m-00s,89.0,0.0,23.0,88.0,200.0
2025-06-19--17h-50m-00s,88.0,1.0,27.0,84.0,200.0
2025-06-19--17h-50m-00s,96.0,0.0,16.0,88.0,200.0
2025-06-19--17h-50m-00s,79.0,0.0,26.0,95.0,200.0
2025-06-19--17h-50m-00s,81.0,0.0,27.0,92.0,200.0
