data_dir,C',HH,SB,VV,N
2025-06-19--17h-50m-00s,16.0,15.0,0.0,9.0,40.0
2025-06-19--17h-50m-00s,15.0,22.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,18.0,18.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,20.0,12.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,17.0,21.0,0.0,2.0,40.0
2025-06-19--17h-50m-00s,21.0,15.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,16.0,18.0,1.0,5.0,40.0
2025-06-19--17h-50m-00s,21.0,12.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,19.0,15.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,18.0,17.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,12.0,21.0,1.0,6.0,40.0
2025-06-19--17h-50m-00s,16.0,18.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,18.0,18.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,19.0,16.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,17.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,15.0,17.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,14.0,18.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,15.0,17.0,2.0,6.0,40.0
2025-06-19--17h-50m-00s,16.0,18.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,19.0,16.0,1.0,4.0,40.0
2025-06-19--17h-50m-00s,15.0,20.0,1.0,4.0,40.0
2025-06-19--17h-50m-00s,18.0,15.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,17.0,16.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,15.0,18.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,8.0,23.0,0.0,9.0,40.0
2025-06-19--17h-50m-00s,13.0,19.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,20.0,16.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,19.0,16.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,15.0,15.0,1.0,9.0,40.0
2025-06-19--17h-50m-00s,15.0,20.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,20.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,15.0,21.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,21.0,14.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,18.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,22.0,13.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,23.0,13.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,14.0,23.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,13.0,20.0,1.0,6.0,40.0
2025-06-19--17h-50m-00s,15.0,21.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,24.0,13.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,20.0,10.0,1.0,9.0,40.0
2025-06-19--17h-50m-00s,11.0,20.0,0.0,9.0,40.0
2025-06-19--17h-50m-00s,14.0,20.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,20.0,14.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,14.0,21.0,1.0,4.0,40.0
2025-06-19--17h-50m-00s,12.0,20.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,19.0,15.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,11.0,17.0,0.0,12.0,40.0
2025-06-19--17h-50m-00s,14.0,17.0,0.0,9.0,40.0
2025-06-19--17h-50m-00s,22.0,13.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,14.0,0.0,9.0,40.0
2025-06-19--17h-50m-00s,16.0,19.0,1.0,4.0,40.0
2025-06-19--17h-50m-00s,19.0,17.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,18.0,19.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,19.0,17.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,13.0,21.0,1.0,5.0,40.0
2025-06-19--17h-50m-00s,19.0,20.0,0.0,1.0,40.0
2025-06-19--17h-50m-00s,24.0,10.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,18.0,17.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,18.0,17.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,15.0,21.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,18.0,18.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,16.0,17.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,16.0,19.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,18.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,19.0,15.0,1.0,5.0,40.0
2025-06-19--17h-50m-00s,16.0,16.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,21.0,16.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,16.0,19.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,15.0,21.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,16.0,13.0,1.0,10.0,40.0
2025-06-19--17h-50m-00s,17.0,19.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,13.0,21.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,16.0,16.0,1.0,7.0,40.0
2025-06-19--17h-50m-00s,20.0,15.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,16.0,14.0,2.0,8.0,40.0
2025-06-19--17h-50m-00s,19.0,15.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,14.0,23.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,11.0,21.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,20.0,14.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,14.0,21.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,18.0,14.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,22.0,12.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,18.0,16.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,13.0,19.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,15.0,22.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,19.0,14.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,16.0,13.0,0.0,11.0,40.0
2025-06-19--17h-50m-00s,16.0,18.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,16.0,18.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,20.0,17.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,22.0,14.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,17.0,18.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,18.0,16.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,20.0,13.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,18.0,17.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,18.0,15.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,20.0,16.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,14.0,23.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,21.0,13.0,1.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,20.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,16.0,18.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,21.0,12.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,25.0,8.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,20.0,14.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,12.0,21.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,15.0,20.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,14.0,22.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,22.0,17.0,0.0,1.0,40.0
2025-06-19--17h-50m-00s,17.0,16.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,20.0,12.0,2.0,6.0,40.0
2025-06-19--17h-50m-00s,21.0,15.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,18.0,17.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,23.0,13.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,16.0,16.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,20.0,16.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,22.0,12.0,1.0,5.0,40.0
2025-06-19--17h-50m-00s,18.0,16.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,24.0,13.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,15.0,24.0,0.0,1.0,40.0
2025-06-19--17h-50m-00s,16.0,17.0,1.0,6.0,40.0
2025-06-19--17h-50m-00s,11.0,23.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,15.0,22.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,22.0,12.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,19.0,17.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,21.0,12.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,21.0,14.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,21.0,15.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,17.0,21.0,0.0,2.0,40.0
2025-06-19--17h-50m-00s,14.0,19.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,15.0,16.0,1.0,8.0,40.0
2025-06-19--17h-50m-00s,20.0,16.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,17.0,18.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,16.0,1.0,6.0,40.0
2025-06-19--17h-50m-00s,14.0,17.0,0.0,9.0,40.0
2025-06-19--17h-50m-00s,21.0,16.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,19.0,14.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,14.0,19.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,21.0,8.0,0.0,11.0,40.0
2025-06-19--17h-50m-00s,13.0,21.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,16.0,16.0,2.0,6.0,40.0
2025-06-19--17h-50m-00s,14.0,18.0,1.0,7.0,40.0
2025-06-19--17h-50m-00s,16.0,17.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,18.0,17.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,20.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,19.0,14.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,24.0,12.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,18.0,14.0,1.0,7.0,40.0
2025-06-19--17h-50m-00s,12.0,23.0,1.0,4.0,40.0
2025-06-19--17h-50m-00s,20.0,11.0,1.0,8.0,40.0
2025-06-19--17h-50m-00s,14.0,20.0,1.0,5.0,40.0
2025-06-19--17h-50m-00s,18.0,12.0,0.0,10.0,40.0
2025-06-19--17h-50m-00s,18.0,18.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,17.0,20.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,18.0,18.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,20.0,18.0,1.0,1.0,40.0
2025-06-19--17h-50m-00s,17.0,17.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,17.0,20.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,18.0,14.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,16.0,15.0,1.0,8.0,40.0
2025-06-19--17h-50m-00s,18.0,19.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,21.0,13.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,17.0,20.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,19.0,17.0,1.0,3.0,40.0
2025-06-19--17h-50m-00s,12.0,20.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,19.0,16.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,22.0,13.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,20.0,17.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,25.0,11.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,18.0,16.0,1.0,5.0,40.0
2025-06-19--17h-50m-00s,18.0,18.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,18.0,18.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,17.0,19.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,19.0,16.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,13.0,23.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,20.0,14.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,13.0,20.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,20.0,15.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,20.0,13.0,1.0,6.0,40.0
2025-06-19--17h-50m-00s,20.0,18.0,1.0,1.0,40.0
2025-06-19--17h-50m-00s,18.0,16.0,1.0,5.0,40.0
2025-06-19--17h-50m-00s,14.0,18.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,22.0,16.0,0.0,2.0,40.0
2025-06-19--17h-50m-00s,11.0,18.0,1.0,10.0,40.0
2025-06-19--17h-50m-00s,16.0,17.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,18.0,18.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,18.0,16.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,13.0,19.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,19.0,16.0,1.0,4.0,40.0
2025-06-19--17h-50m-00s,14.0,21.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,19.0,16.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,22.0,15.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,10.0,21.0,0.0,9.0,40.0
2025-06-19--17h-50m-00s,17.0,19.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,22.0,11.0,2.0,5.0,40.0
2025-06-19--17h-50m-00s,12.0,22.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,21.0,14.0,1.0,4.0,40.0
2025-06-19--17h-50m-00s,14.0,21.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,19.0,18.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,19.0,20.0,0.0,1.0,40.0
2025-06-19--17h-50m-00s,8.0,21.0,1.0,10.0,40.0
2025-06-19--17h-50m-00s,23.0,12.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,20.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,14.0,21.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,14.0,1.0,8.0,40.0
2025-06-19--17h-50m-00s,20.0,13.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,18.0,14.0,2.0,6.0,40.0
2025-06-19--17h-50m-00s,17.0,18.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,22.0,9.0,0.0,9.0,40.0
2025-06-19--17h-50m-00s,18.0,14.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,15.0,21.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,19.0,16.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,13.0,19.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,15.0,19.0,1.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,18.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,12.0,21.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,18.0,15.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,19.0,15.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,19.0,17.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,12.0,23.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,18.0,1.0,4.0,40.0
2025-06-19--17h-50m-00s,18.0,17.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,20.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,17.0,18.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,15.0,18.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,16.0,19.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,16.0,15.0,0.0,9.0,40.0
2025-06-19--17h-50m-00s,13.0,19.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,15.0,23.0,0.0,2.0,40.0
2025-06-19--17h-50m-00s,17.0,17.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,19.0,16.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,20.0,15.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,19.0,15.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,18.0,14.0,1.0,7.0,40.0
2025-06-19--17h-50m-00s,22.0,14.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,22.0,13.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,21.0,12.0,1.0,6.0,40.0
2025-06-19--17h-50m-00s,22.0,13.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,10.0,25.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,19.0,16.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,19.0,15.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,25.0,12.0,1.0,2.0,40.0
2025-06-19--17h-50m-00s,17.0,16.0,2.0,5.0,40.0
2025-06-19--17h-50m-00s,15.0,14.0,0.0,11.0,40.0
2025-06-19--17h-50m-00s,24.0,13.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,19.0,15.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,17.0,12.0,0.0,11.0,40.0
2025-06-19--17h-50m-00s,17.0,21.0,0.0,2.0,40.0
2025-06-19--17h-50m-00s,18.0,19.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,14.0,19.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,16.0,19.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,16.0,19.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,17.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,16.0,18.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,12.0,22.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,21.0,9.0,0.0,10.0,40.0
2025-06-19--17h-50m-00s,15.0,19.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,16.0,19.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,16.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,17.0,15.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,20.0,17.0,2.0,1.0,40.0
2025-06-19--17h-50m-00s,16.0,16.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,13.0,20.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,17.0,18.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,16.0,17.0,1.0,6.0,40.0
2025-06-19--17h-50m-00s,22.0,13.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,22.0,14.0,1.0,3.0,40.0
2025-06-19--17h-50m-00s,12.0,19.0,0.0,9.0,40.0
2025-06-19--17h-50m-00s,14.0,18.0,1.0,7.0,40.0
2025-06-19--17h-50m-00s,15.0,19.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,16.0,16.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,18.0,15.0,1.0,6.0,40.0
2025-06-19--17h-50m-00s,15.0,21.0,1.0,3.0,40.0
2025-06-19--17h-50m-00s,16.0,18.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,12.0,21.0,1.0,6.0,40.0
2025-06-19--17h-50m-00s,14.0,20.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,19.0,13.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,19.0,18.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,23.0,13.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,17.0,21.0,0.0,2.0,40.0
2025-06-19--17h-50m-00s,16.0,19.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,20.0,15.0,1.0,4.0,40.0
2025-06-19--17h-50m-00s,17.0,18.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,15.0,19.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,19.0,17.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,15.0,17.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,17.0,21.0,0.0,2.0,40.0
2025-06-19--17h-50m-00s,14.0,21.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,20.0,11.0,0.0,9.0,40.0
2025-06-19--17h-50m-00s,18.0,19.0,1.0,2.0,40.0
2025-06-19--17h-50m-00s,15.0,19.0,1.0,5.0,40.0
2025-06-19--17h-50m-00s,13.0,24.0,1.0,2.0,40.0
2025-06-19--17h-50m-00s,18.0,18.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,17.0,21.0,0.0,2.0,40.0
2025-06-19--17h-50m-00s,15.0,19.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,18.0,16.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,16.0,18.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,12.0,22.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,21.0,16.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,19.0,15.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,18.0,17.0,1.0,4.0,40.0
2025-06-19--17h-50m-00s,15.0,19.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,19.0,18.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,18.0,20.0,0.0,2.0,40.0
2025-06-19--17h-50m-00s,22.0,15.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,14.0,16.0,0.0,10.0,40.0
2025-06-19--17h-50m-00s,20.0,16.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,21.0,14.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,14.0,21.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,16.0,1.0,6.0,40.0
2025-06-19--17h-50m-00s,22.0,12.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,20.0,15.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,15.0,22.0,0.0,3.0,40.0
2025-06-19--17h-50m-00s,19.0,14.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,19.0,17.0,1.0,3.0,40.0
2025-06-19--17h-50m-00s,14.0,18.0,1.0,7.0,40.0
2025-06-19--17h-50m-00s,23.0,10.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,16.0,17.0,1.0,6.0,40.0
2025-06-19--17h-50m-00s,19.0,17.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,16.0,20.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,14.0,19.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,19.0,17.0,1.0,3.0,40.0
2025-06-19--17h-50m-00s,16.0,19.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,18.0,16.0,1.0,5.0,40.0
2025-06-19--17h-50m-00s,16.0,15.0,0.0,9.0,40.0
2025-06-19--17h-50m-00s,15.0,16.0,1.0,8.0,40.0
2025-06-19--17h-50m-00s,15.0,20.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,19.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,16.0,17.0,2.0,5.0,40.0
2025-06-19--17h-50m-00s,16.0,15.0,2.0,7.0,40.0
2025-06-19--17h-50m-00s,16.0,18.0,0.0,6.0,40.0
2025-06-19--17h-50m-00s,20.0,16.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,15.0,14.0,0.0,11.0,40.0
2025-06-19--17h-50m-00s,18.0,18.0,0.0,4.0,40.0
2025-06-19--17h-50m-00s,20.0,15.0,0.0,5.0,40.0
2025-06-19--17h-50m-00s,17.0,16.0,0.0,7.0,40.0
2025-06-19--17h-50m-00s,16.0,13.0,0.0,11.0,40.0
2025-06-19--17h-50m-00s,17.0,15.0,0.0,8.0,40.0
2025-06-19--17h-50m-00s,18.0,14.0,0.0,8.0,40.0
