data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate,theta_estimate_degrees,delta_phi_estimate_degrees
2025-05-23--18h-53m-21s,0.5,0.0,35.0,4.5,40.0,2.664480725276315,0.3172771730595597,152.66350015228943,18.178642952154597
2025-05-23--18h-53m-21s,0.0,0.0,37.0,3.0,40.0,2.7907583189782468,0.0,159.8986733184779,0.0
2025-05-23--18h-53m-21s,0.5,0.0,33.0,6.5,40.0,2.5636044183967206,0.2667111521503259,146.88371351522215,15.281423367285226
2025-05-23--18h-53m-21s,0.5,1.0,33.0,5.5,40.0,2.5186801516870747,0.28872253391069386,144.30974263503938,16.54258264340555
2025-05-23--18h-53m-21s,1.5,1.0,35.0,2.5,40.0,2.6118638991287852,0.6518095024818801,149.64877808266237,37.34593353873369
2025-05-23--18h-53m-21s,1.0,0.0,37.0,2.0,40.0,2.7907583189782468,0.6084259956212019,159.8986733184779,34.860241695139976
2025-05-23--18h-53m-21s,0.0,0.0,35.0,5.0,40.0,2.664480725276315,0.0,152.66350015228943,0.0
2025-05-23--18h-53m-21s,0.5,0.0,36.0,3.5,40.0,2.723107492325756,0.3564338525814142,156.02256647071903,20.422155428503196
2025-05-23--18h-53m-21s,0.0,1.0,32.0,7.0,40.0,2.4764067053368013,0.0,141.887652573696,0.0
2025-05-23--18h-53m-21s,3.0,0.0,31.0,6.0,40.0,2.4764067053368013,0.6084259956212019,141.887652573696,34.860241695139976
2025-05-23--18h-53m-21s,0.0,0.0,35.0,5.0,40.0,2.664480725276315,0.0,152.66350015228943,0.0
2025-05-23--18h-53m-21s,0.5,0.0,36.0,3.5,40.0,2.723107492325756,0.3564338525814142,156.02256647071903,20.422155428503196
2025-05-23--18h-53m-21s,0.5,0.0,36.0,3.5,40.0,2.723107492325756,0.3564338525814142,156.02256647071903,20.422155428503196
2025-05-23--18h-53m-21s,1.0,2.0,32.0,5.0,40.0,2.4362991516840635,0.4149717231447266,139.58965902279962,23.776128353464095
2025-05-23--18h-53m-21s,1.5,0.0,34.0,4.5,40.0,2.6118638991287852,0.517127578698283,149.64877808266237,29.629227729230948
2025-05-23--18h-53m-21s,0.5,0.0,37.0,2.5,40.0,2.7907583189782468,0.4149717231447266,159.8986733184779,23.776128353464095
2025-05-23--18h-53m-21s,0.5,0.0,37.0,2.5,40.0,2.7907583189782468,0.4149717231447266,159.8986733184779,23.776128353464095
2025-05-23--18h-53m-21s,0.5,0.0,31.0,8.5,40.0,2.4764067053368013,0.2345277804372816,141.887652573696,13.437451997627068
2025-05-23--18h-53m-21s,0.5,0.0,33.0,6.5,40.0,2.5636044183967206,0.2667111521503259,146.88371351522215,15.281423367285226
2025-05-23--18h-53m-21s,0.0,2.0,32.0,6.0,40.0,2.4362991516840635,0.0,139.58965902279962,0.0
2025-05-23--18h-53m-21s,0.5,0.0,36.0,3.5,40.0,2.723107492325756,0.3564338525814142,156.02256647071903,20.422155428503196
2025-05-23--18h-53m-21s,0.0,1.0,38.0,1.0,40.0,2.7907583189782468,0.0,159.8986733184779,0.0
2025-05-23--18h-53m-21s,0.5,0.0,37.0,2.5,40.0,2.7907583189782468,0.4149717231447266,159.8986733184779,23.776128353464095
2025-05-23--18h-53m-21s,0.0,0.0,35.0,5.0,40.0,2.664480725276315,0.0,152.66350015228943,0.0
2025-05-23--18h-53m-21s,0.5,0.0,35.0,4.5,40.0,2.664480725276315,0.3172771730595597,152.66350015228943,18.178642952154597
2025-05-23--18h-53m-21s,1.0,0.0,34.0,5.0,40.0,2.6118638991287852,0.4149717231447266,149.64877808266237,23.776128353464095
2025-05-23--18h-53m-21s,1.0,0.0,35.0,4.0,40.0,2.664480725276315,0.45767422457177315,152.66350015228943,26.22280145988524
2025-05-23--18h-53m-21s,1.0,0.0,36.0,3.0,40.0,2.723107492325756,0.517127578698283,156.02256647071903,29.629227729230948
2025-05-23--18h-53m-21s,1.0,0.0,35.0,4.0,40.0,2.664480725276315,0.45767422457177315,152.66350015228943,26.22280145988524
2025-05-23--18h-53m-21s,2.0,0.0,35.0,3.0,40.0,2.664480725276315,0.6773814595049629,152.66350015228943,38.811098750046256
2025-05-23--18h-53m-21s,2.5,0.0,31.0,6.5,40.0,2.4764067053368013,0.5484246648367209,141.887652573696,31.422418676020833
2025-05-23--18h-53m-21s,0.5,0.0,36.0,3.5,40.0,2.723107492325756,0.3564338525814142,156.02256647071903,20.422155428503196
2025-05-23--18h-53m-21s,1.0,0.0,33.0,6.0,40.0,2.5636044183967206,0.38237550466972126,146.88371351522215,21.908502606759928
2025-05-23--18h-53m-21s,0.5,0.0,35.0,4.5,40.0,2.664480725276315,0.3172771730595597,152.66350015228943,18.178642952154597
2025-05-23--18h-53m-21s,1.5,0.0,31.0,7.5,40.0,2.4764067053368013,0.4149717231447266,141.887652573696,23.776128353464095
2025-05-23--18h-53m-21s,0.5,0.0,34.0,5.5,40.0,2.6118638991287852,0.28872253391069386,149.64877808266237,16.54258264340555
2025-05-23--18h-53m-21s,3.0,0.0,31.0,6.0,40.0,2.4764067053368013,0.6084259956212019,141.887652573696,34.860241695139976
2025-05-23--18h-53m-21s,0.5,0.0,35.0,4.5,40.0,2.664480725276315,0.3172771730595597,152.66350015228943,18.178642952154597
2025-05-23--18h-53m-21s,1.5,0.0,34.0,4.5,40.0,2.6118638991287852,0.517127578698283,149.64877808266237,29.629227729230948
2025-05-23--18h-53m-21s,0.0,0.0,35.0,5.0,40.0,2.664480725276315,0.0,152.66350015228943,0.0
2025-05-23--18h-53m-21s,0.5,0.0,36.0,3.5,40.0,2.723107492325756,0.3564338525814142,156.02256647071903,20.422155428503196
2025-05-23--18h-53m-21s,1.0,0.0,36.0,3.0,40.0,2.723107492325756,0.517127578698283,156.02256647071903,29.629227729230948
2025-05-23--18h-53m-21s,1.5,0.0,33.0,5.5,40.0,2.5636044183967206,0.4751464843588339,146.88371351522215,27.223888204239966
2025-05-23--18h-53m-21s,0.5,1.0,36.0,2.5,40.0,2.664480725276315,0.4149717231447266,152.66350015228943,23.776128353464095
2025-05-23--18h-53m-21s,1.0,0.0,35.0,4.0,40.0,2.664480725276315,0.45767422457177315,152.66350015228943,26.22280145988524
2025-05-23--18h-53m-21s,0.5,0.0,36.0,3.5,40.0,2.723107492325756,0.3564338525814142,156.02256647071903,20.422155428503196
2025-05-23--18h-53m-21s,1.0,0.0,32.0,7.0,40.0,2.5186801516870747,0.3564338525814142,144.30974263503938,20.422155428503196
2025-05-23--18h-53m-21s,1.5,0.0,33.0,5.5,40.0,2.5636044183967206,0.4751464843588339,146.88371351522215,27.223888204239966
2025-05-23--18h-53m-21s,0.0,0.0,38.0,2.0,40.0,2.8742148526381652,0.0,164.6803804699827,0.0
2025-05-23--18h-53m-21s,0.0,0.0,34.0,6.0,40.0,2.6118638991287852,0.0,149.64877808266237,0.0
2025-05-23--18h-53m-21s,0.0,0.0,38.0,2.0,40.0,2.8742148526381652,0.0,164.6803804699827,0.0
2025-05-23--18h-53m-21s,0.0,0.0,36.0,4.0,40.0,2.723107492325756,0.0,156.02256647071903,0.0
2025-05-23--18h-53m-21s,0.5,2.0,31.0,6.5,40.0,2.397998956835325,0.2667111521503259,137.3952195034382,15.281423367285226
2025-05-23--18h-53m-21s,1.0,0.0,34.0,5.0,40.0,2.6118638991287852,0.4149717231447266,149.64877808266237,23.776128353464095
2025-05-23--18h-53m-21s,0.5,0.0,37.0,2.5,40.0,2.7907583189782468,0.4149717231447266,159.8986733184779,23.776128353464095
2025-05-23--18h-53m-21s,0.5,0.0,37.0,2.5,40.0,2.7907583189782468,0.4149717231447266,159.8986733184779,23.776128353464095
2025-05-23--18h-53m-21s,0.0,0.0,37.0,3.0,40.0,2.7907583189782468,0.0,159.8986733184779,0.0
2025-05-23--18h-53m-21s,0.5,1.0,35.0,3.5,40.0,2.6118638991287852,0.3564338525814142,149.64877808266237,20.422155428503196
2025-05-23--18h-53m-21s,1.5,0.0,34.0,4.5,40.0,2.6118638991287852,0.517127578698283,149.64877808266237,29.629227729230948
