data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate,theta_estimate_degrees,delta_phi_estimate_degrees
2025-05-23--17h-28m-51s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679,8.171233559949766,44.57026553758209
2025-05-23--17h-28m-51s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679,8.171233559949766,44.57026553758209
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679,8.171233559949766,44.57026553758209
2025-05-23--17h-28m-51s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679,8.171233559949766,44.57026553758209
2025-05-23--17h-28m-51s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-28m-51s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,2.0,38.0,0.0,0.0,40.0,0.26737780095162794,1.5707963267948966,15.319619530017288,90.0
2025-05-23--17h-28m-51s,3.0,37.0,0.0,0.0,40.0,0.35083433461154634,1.5707963267948966,20.101326681522107,90.0
2025-05-23--17h-28m-51s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679,8.171233559949766,44.57026553758209
2025-05-23--17h-28m-51s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679,8.171233559949766,44.57026553758209
2025-05-23--17h-28m-51s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679,8.171233559949766,44.57026553758209
2025-05-23--17h-28m-51s,0.0,39.0,0.0,1.0,40.0,0.14261492957058086,0.0,8.171233559949766,0.0
2025-05-23--17h-28m-51s,2.0,38.0,0.0,0.0,40.0,0.26737780095162794,1.5707963267948966,15.319619530017288,90.0
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,2.0,38.0,0.0,0.0,40.0,0.26737780095162794,1.5707963267948966,15.319619530017288,90.0
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679,8.171233559949766,44.57026553758209
2025-05-23--17h-28m-51s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,2.0,38.0,0.0,0.0,40.0,0.26737780095162794,1.5707963267948966,15.319619530017288,90.0
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,1.5,38.0,0.0,0.5,40.0,0.26737780095162794,1.0406776362569188,15.319619530017288,59.626436391172106
2025-05-23--17h-28m-51s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679,8.171233559949766,44.57026553758209
2025-05-23--17h-28m-51s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-28m-51s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
