data_dir,C,SB,DB_V,DB_H,N
2025-06-18--18h-23m-35s,46.0,7.0,26.0,1.0,80.0
2025-06-18--18h-23m-35s,41.0,8.0,31.0,0.0,80.0
2025-06-18--18h-23m-35s,44.0,9.0,25.0,2.0,80.0
2025-06-18--18h-23m-35s,36.0,11.0,32.0,1.0,80.0
2025-06-18--18h-23m-35s,41.0,15.0,21.0,3.0,80.0
2025-06-18--18h-23m-35s,40.0,8.0,30.0,2.0,80.0
2025-06-18--18h-23m-35s,38.0,12.0,28.0,2.0,80.0
2025-06-18--18h-23m-35s,37.0,7.0,35.0,1.0,80.0
2025-06-18--18h-23m-35s,44.0,9.0,27.0,0.0,80.0
2025-06-18--18h-23m-35s,45.0,9.0,24.0,2.0,80.0
2025-06-18--18h-23m-35s,37.0,15.0,28.0,0.0,80.0
2025-06-18--18h-23m-35s,48.0,9.0,23.0,0.0,80.0
2025-06-18--18h-23m-35s,39.0,10.0,30.0,1.0,80.0
2025-06-18--18h-23m-35s,37.0,15.0,27.0,1.0,80.0
2025-06-18--18h-23m-35s,40.0,9.0,31.0,0.0,80.0
2025-06-18--18h-23m-35s,39.0,8.0,33.0,0.0,80.0
2025-06-18--18h-23m-35s,39.0,8.0,32.0,1.0,80.0
2025-06-18--18h-23m-35s,41.0,13.0,25.0,1.0,80.0
2025-06-18--18h-23m-35s,45.0,10.0,24.0,1.0,80.0
2025-06-18--18h-23m-35s,26.0,14.0,39.0,1.0,80.0
2025-06-18--18h-23m-35s,39.0,9.0,30.0,2.0,80.0
2025-06-18--18h-23m-35s,42.0,14.0,24.0,0.0,80.0
2025-06-18--18h-23m-35s,41.0,9.0,30.0,0.0,80.0
2025-06-18--18h-23m-35s,44.0,12.0,24.0,0.0,80.0
2025-06-18--18h-23m-35s,36.0,14.0,29.0,1.0,80.0
2025-06-18--18h-23m-35s,44.0,13.0,20.0,3.0,80.0
2025-06-18--18h-23m-35s,41.0,11.0,27.0,1.0,80.0
2025-06-18--18h-23m-35s,30.0,15.0,34.0,1.0,80.0
2025-06-18--18h-23m-35s,44.0,9.0,26.0,1.0,80.0
2025-06-18--18h-23m-35s,43.0,7.0,29.0,1.0,80.0
2025-06-18--18h-23m-35s,40.0,8.0,29.0,3.0,80.0
2025-06-18--18h-23m-35s,40.0,10.0,29.0,1.0,80.0
2025-06-18--18h-23m-35s,42.0,11.0,27.0,0.0,80.0
2025-06-18--18h-23m-35s,34.0,19.0,26.0,1.0,80.0
2025-06-18--18h-23m-35s,35.0,14.0,30.0,1.0,80.0
2025-06-18--18h-23m-35s,43.0,14.0,23.0,0.0,80.0
2025-06-18--18h-23m-35s,47.0,14.0,18.0,1.0,80.0
2025-06-18--18h-23m-35s,33.0,15.0,31.0,1.0,80.0
2025-06-18--18h-23m-35s,37.0,11.0,31.0,1.0,80.0
2025-06-18--18h-23m-35s,41.0,8.0,31.0,0.0,80.0
2025-06-18--18h-23m-35s,39.0,12.0,29.0,0.0,80.0
2025-06-18--18h-23m-35s,39.0,8.0,33.0,0.0,80.0
2025-06-18--18h-23m-35s,41.0,8.0,30.0,1.0,80.0
2025-06-18--18h-23m-35s,44.0,10.0,26.0,0.0,80.0
2025-06-18--18h-23m-35s,43.0,13.0,24.0,0.0,80.0
2025-06-18--18h-23m-35s,38.0,16.0,26.0,0.0,80.0
2025-06-18--18h-23m-35s,45.0,9.0,26.0,0.0,80.0
2025-06-18--18h-23m-35s,43.0,11.0,26.0,0.0,80.0
2025-06-18--18h-23m-35s,35.0,12.0,32.0,1.0,80.0
2025-06-18--18h-23m-35s,36.0,11.0,33.0,0.0,80.0
2025-06-18--18h-23m-35s,40.0,15.0,24.0,1.0,80.0
2025-06-18--18h-23m-35s,36.0,10.0,33.0,1.0,80.0
2025-06-18--18h-23m-35s,31.0,12.0,35.0,2.0,80.0
2025-06-18--18h-23m-35s,39.0,9.0,32.0,0.0,80.0
2025-06-18--18h-23m-35s,37.0,12.0,31.0,0.0,80.0
2025-06-18--18h-23m-35s,41.0,15.0,24.0,0.0,80.0
2025-06-18--18h-23m-35s,45.0,9.0,26.0,0.0,80.0
2025-06-18--18h-23m-35s,37.0,15.0,27.0,1.0,80.0
2025-06-18--18h-23m-35s,46.0,7.0,27.0,0.0,80.0
2025-06-18--18h-23m-35s,39.0,12.0,28.0,1.0,80.0
2025-06-18--18h-23m-35s,41.0,6.0,26.0,7.0,80.0
2025-06-18--18h-23m-35s,36.0,14.0,30.0,0.0,80.0
2025-06-18--18h-23m-35s,42.0,12.0,25.0,1.0,80.0
2025-06-18--18h-23m-35s,45.0,12.0,21.0,2.0,80.0
2025-06-18--18h-23m-35s,40.0,12.0,27.0,1.0,80.0
2025-06-18--18h-23m-35s,36.0,6.0,38.0,0.0,80.0
2025-06-18--18h-23m-35s,36.0,16.0,27.0,1.0,80.0
2025-06-18--18h-23m-35s,46.0,8.0,24.0,2.0,80.0
2025-06-18--18h-23m-35s,43.0,8.0,29.0,0.0,80.0
2025-06-18--18h-23m-35s,44.0,8.0,27.0,1.0,80.0
2025-06-18--18h-23m-35s,39.0,9.0,31.0,1.0,80.0
2025-06-18--18h-23m-35s,39.0,12.0,29.0,0.0,80.0
2025-06-18--18h-23m-35s,43.0,12.0,25.0,0.0,80.0
2025-06-18--18h-23m-35s,39.0,12.0,28.0,1.0,80.0
2025-06-18--18h-23m-35s,36.0,12.0,30.0,2.0,80.0
2025-06-18--18h-23m-35s,38.0,11.0,30.0,1.0,80.0
2025-06-18--18h-23m-35s,40.0,16.0,23.0,1.0,80.0
2025-06-18--18h-23m-35s,40.0,9.0,30.0,1.0,80.0
2025-06-18--18h-23m-35s,33.0,12.0,35.0,0.0,80.0
2025-06-18--18h-23m-35s,40.0,15.0,25.0,0.0,80.0
2025-06-18--18h-23m-35s,34.0,15.0,30.0,1.0,80.0
2025-06-18--18h-23m-35s,43.0,9.0,28.0,0.0,80.0
2025-06-18--18h-23m-35s,43.0,7.0,30.0,0.0,80.0
2025-06-18--18h-23m-35s,28.0,13.0,38.0,1.0,80.0
2025-06-18--18h-23m-35s,51.0,11.0,17.0,1.0,80.0
2025-06-18--18h-23m-35s,38.0,11.0,29.0,2.0,80.0
2025-06-18--18h-23m-35s,40.0,10.0,29.0,1.0,80.0
2025-06-18--18h-23m-35s,43.0,12.0,25.0,0.0,80.0
2025-06-18--18h-23m-35s,38.0,13.0,28.0,1.0,80.0
2025-06-18--18h-23m-35s,40.0,11.0,28.0,1.0,80.0
2025-06-18--18h-23m-35s,38.0,7.0,34.0,1.0,80.0
2025-06-18--18h-23m-35s,33.0,17.0,28.0,2.0,80.0
2025-06-18--18h-23m-35s,44.0,12.0,24.0,0.0,80.0
2025-06-18--18h-23m-35s,45.0,9.0,24.0,2.0,80.0
2025-06-18--18h-23m-35s,44.0,12.0,23.0,1.0,80.0
2025-06-18--18h-23m-35s,35.0,12.0,31.0,2.0,80.0
2025-06-18--18h-23m-35s,44.0,12.0,22.0,2.0,80.0
2025-06-18--18h-23m-35s,37.0,13.0,29.0,1.0,80.0
2025-06-18--18h-23m-35s,34.0,16.0,27.0,3.0,80.0
2025-06-18--18h-23m-35s,35.0,9.0,35.0,1.0,80.0
2025-06-18--18h-23m-35s,43.0,11.0,25.0,1.0,80.0
2025-06-18--18h-23m-35s,34.0,12.0,33.0,1.0,80.0
2025-06-18--18h-23m-35s,45.0,9.0,26.0,0.0,80.0
2025-06-18--18h-23m-35s,42.0,9.0,29.0,0.0,80.0
2025-06-18--18h-23m-35s,38.0,14.0,25.0,3.0,80.0
2025-06-18--18h-23m-35s,39.0,10.0,30.0,1.0,80.0
2025-06-18--18h-23m-35s,49.0,8.0,22.0,1.0,80.0
2025-06-18--18h-23m-35s,37.0,9.0,34.0,0.0,80.0
2025-06-18--18h-23m-35s,41.0,9.0,30.0,0.0,80.0
2025-06-18--18h-23m-35s,35.0,11.0,34.0,0.0,80.0
2025-06-18--18h-23m-35s,40.0,9.0,30.0,1.0,80.0
2025-06-18--18h-23m-35s,44.0,10.0,26.0,0.0,80.0
2025-06-18--18h-23m-35s,35.0,15.0,30.0,0.0,80.0
2025-06-18--18h-23m-35s,34.0,8.0,37.0,1.0,80.0
2025-06-18--18h-23m-35s,39.0,6.0,32.0,3.0,80.0
2025-06-18--18h-23m-35s,44.0,12.0,23.0,1.0,80.0
2025-06-18--18h-23m-35s,45.0,10.0,25.0,0.0,80.0
2025-06-18--18h-23m-35s,42.0,8.0,29.0,1.0,80.0
2025-06-18--18h-23m-35s,34.0,9.0,36.0,1.0,80.0
2025-06-18--18h-23m-35s,37.0,16.0,27.0,0.0,80.0
2025-06-18--18h-23m-35s,39.0,10.0,31.0,0.0,80.0
2025-06-18--18h-23m-35s,37.0,13.0,29.0,1.0,80.0
2025-06-18--18h-23m-35s,38.0,11.0,30.0,1.0,80.0
2025-06-18--18h-23m-35s,33.0,11.0,35.0,1.0,80.0
2025-06-18--18h-23m-35s,38.0,7.0,33.0,2.0,80.0
2025-06-18--18h-23m-35s,39.0,12.0,28.0,1.0,80.0
2025-06-18--18h-23m-35s,39.0,10.0,29.0,2.0,80.0
2025-06-18--18h-23m-35s,49.0,11.0,20.0,0.0,80.0
2025-06-18--18h-23m-35s,35.0,8.0,36.0,1.0,80.0
2025-06-18--18h-23m-35s,41.0,12.0,27.0,0.0,80.0
2025-06-18--18h-23m-35s,38.0,14.0,28.0,0.0,80.0
2025-06-18--18h-23m-35s,35.0,15.0,30.0,0.0,80.0
2025-06-18--18h-23m-35s,45.0,12.0,22.0,1.0,80.0
2025-06-18--18h-23m-35s,46.0,9.0,24.0,1.0,80.0
2025-06-18--18h-23m-35s,47.0,8.0,25.0,0.0,80.0
2025-06-18--18h-23m-35s,41.0,10.0,28.0,1.0,80.0
2025-06-18--18h-23m-35s,35.0,16.0,29.0,0.0,80.0
2025-06-18--18h-23m-35s,41.0,11.0,27.0,1.0,80.0
2025-06-18--18h-23m-35s,37.0,15.0,26.0,2.0,80.0
2025-06-18--18h-23m-35s,39.0,14.0,27.0,0.0,80.0
2025-06-18--18h-23m-35s,43.0,10.0,27.0,0.0,80.0
2025-06-18--18h-23m-35s,39.0,12.0,26.0,3.0,80.0
2025-06-18--18h-23m-35s,43.0,11.0,24.0,2.0,80.0
2025-06-18--18h-23m-35s,39.0,5.0,32.0,4.0,80.0
2025-06-18--18h-23m-35s,48.0,10.0,22.0,0.0,80.0
2025-06-18--18h-23m-35s,34.0,14.0,31.0,1.0,80.0
2025-06-18--18h-23m-35s,39.0,9.0,31.0,1.0,80.0
2025-06-18--18h-23m-35s,37.0,12.0,28.0,3.0,80.0
2025-06-18--18h-23m-35s,35.0,8.0,35.0,2.0,80.0
2025-06-18--18h-23m-35s,29.0,10.0,41.0,0.0,80.0
2025-06-18--18h-23m-35s,33.0,11.0,36.0,0.0,80.0
2025-06-18--18h-23m-35s,41.0,13.0,26.0,0.0,80.0
2025-06-18--18h-23m-35s,45.0,11.0,23.0,1.0,80.0
2025-06-18--18h-23m-35s,46.0,15.0,19.0,0.0,80.0
2025-06-18--18h-23m-35s,38.0,11.0,30.0,1.0,80.0
2025-06-18--18h-23m-35s,29.0,15.0,35.0,1.0,80.0
2025-06-18--18h-23m-35s,42.0,11.0,27.0,0.0,80.0
2025-06-18--18h-23m-35s,43.0,10.0,27.0,0.0,80.0
2025-06-18--18h-23m-35s,44.0,14.0,20.0,2.0,80.0
2025-06-18--18h-23m-35s,36.0,12.0,28.0,4.0,80.0
2025-06-18--18h-23m-35s,39.0,15.0,26.0,0.0,80.0
2025-06-18--18h-23m-35s,37.0,17.0,26.0,0.0,80.0
2025-06-18--18h-23m-35s,45.0,13.0,21.0,1.0,80.0
2025-06-18--18h-23m-35s,40.0,13.0,27.0,0.0,80.0
2025-06-18--18h-23m-35s,47.0,12.0,17.0,4.0,80.0
2025-06-18--18h-23m-35s,33.0,11.0,32.0,4.0,80.0
2025-06-18--18h-23m-35s,48.0,8.0,22.0,2.0,80.0
2025-06-18--18h-23m-35s,40.0,8.0,31.0,1.0,80.0
2025-06-18--18h-23m-35s,35.0,12.0,30.0,3.0,80.0
2025-06-18--18h-23m-35s,39.0,8.0,32.0,1.0,80.0
2025-06-18--18h-23m-35s,36.0,10.0,32.0,2.0,80.0
2025-06-18--18h-23m-35s,45.0,7.0,28.0,0.0,80.0
2025-06-18--18h-23m-35s,40.0,10.0,29.0,1.0,80.0
2025-06-18--18h-23m-35s,36.0,12.0,32.0,0.0,80.0
2025-06-18--18h-23m-35s,41.0,8.0,29.0,2.0,80.0
2025-06-18--18h-23m-35s,36.0,14.0,28.0,2.0,80.0
2025-06-18--18h-23m-35s,43.0,11.0,24.0,2.0,80.0
2025-06-18--18h-23m-35s,36.0,8.0,35.0,1.0,80.0
2025-06-18--18h-23m-35s,42.0,10.0,25.0,3.0,80.0
2025-06-18--18h-23m-35s,35.0,11.0,33.0,1.0,80.0
2025-06-18--18h-23m-35s,40.0,14.0,25.0,1.0,80.0
2025-06-18--18h-23m-35s,39.0,15.0,26.0,0.0,80.0
2025-06-18--18h-23m-35s,39.0,12.0,27.0,2.0,80.0
2025-06-18--18h-23m-35s,42.0,11.0,27.0,0.0,80.0
2025-06-18--18h-23m-35s,41.0,11.0,27.0,1.0,80.0
2025-06-18--18h-23m-35s,46.0,12.0,22.0,0.0,80.0
2025-06-18--18h-23m-35s,42.0,11.0,25.0,2.0,80.0
2025-06-18--18h-23m-35s,42.0,6.0,31.0,1.0,80.0
2025-06-18--18h-23m-35s,39.0,15.0,25.0,1.0,80.0
2025-06-18--18h-23m-35s,38.0,13.0,28.0,1.0,80.0
2025-06-18--18h-23m-35s,38.0,15.0,26.0,1.0,80.0
2025-06-18--18h-23m-35s,46.0,13.0,21.0,0.0,80.0
2025-06-18--18h-23m-35s,40.0,7.0,33.0,0.0,80.0
2025-06-18--18h-23m-35s,46.0,10.0,24.0,0.0,80.0
2025-06-18--18h-23m-35s,40.0,12.0,28.0,0.0,80.0
2025-06-18--18h-23m-35s,38.0,7.0,34.0,1.0,80.0
2025-06-18--18h-23m-35s,38.0,11.0,28.0,3.0,80.0
2025-06-18--18h-23m-35s,50.0,8.0,21.0,1.0,80.0
2025-06-18--18h-23m-35s,38.0,11.0,28.0,3.0,80.0
2025-06-18--18h-23m-35s,44.0,6.0,28.0,2.0,80.0
2025-06-18--18h-23m-35s,38.0,7.0,32.0,3.0,80.0
2025-06-18--18h-23m-35s,37.0,16.0,26.0,1.0,80.0
2025-06-18--18h-23m-35s,47.0,10.0,22.0,1.0,80.0
2025-06-18--18h-23m-35s,48.0,9.0,22.0,1.0,80.0
2025-06-18--18h-23m-35s,37.0,13.0,29.0,1.0,80.0
2025-06-18--18h-23m-35s,36.0,10.0,34.0,0.0,80.0
2025-06-18--18h-23m-35s,37.0,19.0,21.0,3.0,80.0
2025-06-18--18h-23m-35s,34.0,14.0,32.0,0.0,80.0
2025-06-18--18h-23m-35s,36.0,14.0,26.0,4.0,80.0
2025-06-18--18h-23m-35s,38.0,8.0,32.0,2.0,80.0
2025-06-18--18h-23m-35s,41.0,8.0,31.0,0.0,80.0
2025-06-18--18h-23m-35s,39.0,7.0,34.0,0.0,80.0
2025-06-18--18h-23m-35s,44.0,6.0,28.0,2.0,80.0
2025-06-18--18h-23m-35s,39.0,11.0,28.0,2.0,80.0
2025-06-18--18h-23m-35s,39.0,7.0,31.0,3.0,80.0
2025-06-18--18h-23m-35s,37.0,15.0,26.0,2.0,80.0
2025-06-18--18h-23m-35s,46.0,12.0,22.0,0.0,80.0
2025-06-18--18h-23m-35s,39.0,9.0,32.0,0.0,80.0
2025-06-18--18h-23m-35s,40.0,9.0,30.0,1.0,80.0
2025-06-18--18h-23m-35s,42.0,9.0,29.0,0.0,80.0
2025-06-18--18h-23m-35s,46.0,10.0,23.0,1.0,80.0
2025-06-18--18h-23m-35s,39.0,8.0,30.0,3.0,80.0
2025-06-18--18h-23m-35s,49.0,6.0,25.0,0.0,80.0
2025-06-18--18h-23m-35s,39.0,9.0,32.0,0.0,80.0
2025-06-18--18h-23m-35s,38.0,9.0,30.0,3.0,80.0
2025-06-18--18h-23m-35s,44.0,8.0,28.0,0.0,80.0
2025-06-18--18h-23m-35s,42.0,16.0,22.0,0.0,80.0
2025-06-18--18h-23m-35s,37.0,8.0,35.0,0.0,80.0
2025-06-18--18h-23m-35s,43.0,14.0,23.0,0.0,80.0
2025-06-18--18h-23m-35s,47.0,11.0,21.0,1.0,80.0
2025-06-18--18h-23m-35s,42.0,9.0,29.0,0.0,80.0
2025-06-18--18h-23m-35s,36.0,15.0,27.0,2.0,80.0
2025-06-18--18h-23m-35s,37.0,9.0,32.0,2.0,80.0
2025-06-18--18h-23m-35s,36.0,17.0,22.0,5.0,80.0
2025-06-18--18h-23m-35s,42.0,13.0,24.0,1.0,80.0
2025-06-18--18h-23m-35s,41.0,12.0,26.0,1.0,80.0
