data_dir,C',HH,SB,VV,N
2025-06-18--18h-23m-35s,4.0,1.0,8.0,27.0,40.0
2025-06-18--18h-23m-35s,11.0,1.0,7.0,21.0,40.0
2025-06-18--18h-23m-35s,10.0,0.0,3.0,27.0,40.0
2025-06-18--18h-23m-35s,8.0,2.0,7.0,23.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,3.0,31.0,40.0
2025-06-18--18h-23m-35s,2.0,1.0,8.0,29.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,4.0,30.0,40.0
2025-06-18--18h-23m-35s,4.0,4.0,6.0,26.0,40.0
2025-06-18--18h-23m-35s,7.0,0.0,6.0,27.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,2.0,31.0,40.0
2025-06-18--18h-23m-35s,8.0,1.0,5.0,26.0,40.0
2025-06-18--18h-23m-35s,2.0,1.0,7.0,30.0,40.0
2025-06-18--18h-23m-35s,7.0,0.0,4.0,29.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,6.0,28.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,4.0,29.0,40.0
2025-06-18--18h-23m-35s,5.0,2.0,10.0,23.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,7.0,27.0,40.0
2025-06-18--18h-23m-35s,2.0,1.0,9.0,28.0,40.0
2025-06-18--18h-23m-35s,10.0,0.0,6.0,24.0,40.0
2025-06-18--18h-23m-35s,6.0,2.0,5.0,27.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,5.0,28.0,40.0
2025-06-18--18h-23m-35s,2.0,2.0,9.0,27.0,40.0
2025-06-18--18h-23m-35s,4.0,2.0,5.0,29.0,40.0
2025-06-18--18h-23m-35s,4.0,1.0,2.0,33.0,40.0
2025-06-18--18h-23m-35s,1.0,0.0,9.0,30.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,5.0,30.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,7.0,27.0,40.0
2025-06-18--18h-23m-35s,8.0,1.0,9.0,22.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,5.0,31.0,40.0
2025-06-18--18h-23m-35s,4.0,2.0,4.0,30.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,5.0,31.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,3.0,31.0,40.0
2025-06-18--18h-23m-35s,7.0,0.0,8.0,25.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,8.0,24.0,40.0
2025-06-18--18h-23m-35s,7.0,2.0,2.0,29.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,4.0,30.0,40.0
2025-06-18--18h-23m-35s,4.0,1.0,4.0,31.0,40.0
2025-06-18--18h-23m-35s,4.0,5.0,8.0,23.0,40.0
2025-06-18--18h-23m-35s,7.0,2.0,7.0,24.0,40.0
2025-06-18--18h-23m-35s,5.0,3.0,7.0,25.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,8.0,26.0,40.0
2025-06-18--18h-23m-35s,8.0,0.0,5.0,27.0,40.0
2025-06-18--18h-23m-35s,9.0,0.0,6.0,25.0,40.0
2025-06-18--18h-23m-35s,3.0,2.0,7.0,28.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,11.0,25.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,6.0,26.0,40.0
2025-06-18--18h-23m-35s,4.0,1.0,6.0,29.0,40.0
2025-06-18--18h-23m-35s,9.0,0.0,3.0,28.0,40.0
2025-06-18--18h-23m-35s,4.0,2.0,4.0,30.0,40.0
2025-06-18--18h-23m-35s,2.0,0.0,9.0,29.0,40.0
2025-06-18--18h-23m-35s,1.0,0.0,7.0,32.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,3.0,31.0,40.0
2025-06-18--18h-23m-35s,8.0,0.0,5.0,27.0,40.0
2025-06-18--18h-23m-35s,6.0,2.0,4.0,28.0,40.0
2025-06-18--18h-23m-35s,6.0,2.0,1.0,31.0,40.0
2025-06-18--18h-23m-35s,7.0,3.0,6.0,24.0,40.0
2025-06-18--18h-23m-35s,2.0,1.0,6.0,31.0,40.0
2025-06-18--18h-23m-35s,2.0,0.0,6.0,32.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,6.0,30.0,40.0
2025-06-18--18h-23m-35s,7.0,0.0,4.0,29.0,40.0
2025-06-18--18h-23m-35s,4.0,1.0,5.0,30.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,3.0,30.0,40.0
2025-06-18--18h-23m-35s,8.0,2.0,6.0,24.0,40.0
2025-06-18--18h-23m-35s,4.0,1.0,5.0,30.0,40.0
2025-06-18--18h-23m-35s,8.0,2.0,4.0,26.0,40.0
2025-06-18--18h-23m-35s,7.0,0.0,6.0,27.0,40.0
2025-06-18--18h-23m-35s,3.0,0.0,6.0,31.0,40.0
2025-06-18--18h-23m-35s,4.0,1.0,2.0,33.0,40.0
2025-06-18--18h-23m-35s,4.0,2.0,5.0,29.0,40.0
2025-06-18--18h-23m-35s,12.0,3.0,5.0,20.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,6.0,30.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,3.0,31.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,7.0,27.0,40.0
2025-06-18--18h-23m-35s,8.0,2.0,1.0,29.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,8.0,25.0,40.0
2025-06-18--18h-23m-35s,5.0,2.0,8.0,25.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,7.0,27.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,3.0,30.0,40.0
2025-06-18--18h-23m-35s,8.0,1.0,9.0,22.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,1.0,33.0,40.0
2025-06-18--18h-23m-35s,4.0,2.0,5.0,29.0,40.0
2025-06-18--18h-23m-35s,6.0,2.0,7.0,25.0,40.0
2025-06-18--18h-23m-35s,4.0,2.0,5.0,29.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,7.0,29.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,4.0,30.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,6.0,29.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,6.0,28.0,40.0
2025-06-18--18h-23m-35s,11.0,3.0,1.0,25.0,40.0
2025-06-18--18h-23m-35s,5.0,2.0,6.0,27.0,40.0
2025-06-18--18h-23m-35s,3.0,2.0,6.0,29.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,5.0,29.0,40.0
2025-06-18--18h-23m-35s,2.0,1.0,1.0,36.0,40.0
2025-06-18--18h-23m-35s,0.0,1.0,6.0,33.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,4.0,32.0,40.0
2025-06-18--18h-23m-35s,5.0,2.0,4.0,29.0,40.0
2025-06-18--18h-23m-35s,6.0,2.0,4.0,28.0,40.0
2025-06-18--18h-23m-35s,9.0,1.0,5.0,25.0,40.0
2025-06-18--18h-23m-35s,3.0,0.0,6.0,31.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,5.0,27.0,40.0
2025-06-18--18h-23m-35s,5.0,3.0,7.0,25.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,8.0,24.0,40.0
2025-06-18--18h-23m-35s,4.0,3.0,4.0,29.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,4.0,31.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,8.0,28.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,4.0,30.0,40.0
2025-06-18--18h-23m-35s,7.0,0.0,3.0,30.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,4.0,30.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,5.0,30.0,40.0
2025-06-18--18h-23m-35s,7.0,0.0,4.0,29.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,2.0,30.0,40.0
2025-06-18--18h-23m-35s,7.0,2.0,7.0,24.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,9.0,27.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,6.0,29.0,40.0
2025-06-18--18h-23m-35s,10.0,0.0,3.0,27.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,6.0,26.0,40.0
2025-06-18--18h-23m-35s,2.0,2.0,4.0,32.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,6.0,28.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,8.0,26.0,40.0
2025-06-18--18h-23m-35s,7.0,2.0,7.0,24.0,40.0
2025-06-18--18h-23m-35s,6.0,3.0,5.0,26.0,40.0
2025-06-18--18h-23m-35s,5.0,3.0,4.0,28.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,2.0,33.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,6.0,29.0,40.0
2025-06-18--18h-23m-35s,4.0,1.0,3.0,32.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,5.0,31.0,40.0
2025-06-18--18h-23m-35s,9.0,0.0,7.0,24.0,40.0
2025-06-18--18h-23m-35s,8.0,2.0,6.0,24.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,4.0,28.0,40.0
2025-06-18--18h-23m-35s,5.0,2.0,6.0,27.0,40.0
2025-06-18--18h-23m-35s,2.0,0.0,11.0,27.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,3.0,30.0,40.0
2025-06-18--18h-23m-35s,3.0,3.0,4.0,30.0,40.0
2025-06-18--18h-23m-35s,3.0,0.0,5.0,32.0,40.0
2025-06-18--18h-23m-35s,9.0,0.0,6.0,25.0,40.0
2025-06-18--18h-23m-35s,4.0,3.0,8.0,25.0,40.0
2025-06-18--18h-23m-35s,4.0,1.0,4.0,31.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,5.0,30.0,40.0
2025-06-18--18h-23m-35s,6.0,2.0,4.0,28.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,8.0,25.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,5.0,29.0,40.0
2025-06-18--18h-23m-35s,1.0,1.0,9.0,29.0,40.0
2025-06-18--18h-23m-35s,4.0,2.0,6.0,28.0,40.0
2025-06-18--18h-23m-35s,4.0,4.0,7.0,25.0,40.0
2025-06-18--18h-23m-35s,7.0,0.0,4.0,29.0,40.0
2025-06-18--18h-23m-35s,2.0,1.0,7.0,30.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,9.0,27.0,40.0
2025-06-18--18h-23m-35s,9.0,1.0,6.0,24.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,4.0,30.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,5.0,29.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,4.0,29.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,3.0,29.0,40.0
2025-06-18--18h-23m-35s,4.0,1.0,3.0,32.0,40.0
2025-06-18--18h-23m-35s,7.0,2.0,5.0,26.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,3.0,29.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,7.0,29.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,3.0,32.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,8.0,26.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,10.0,24.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,9.0,25.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,8.0,28.0,40.0
2025-06-18--18h-23m-35s,2.0,0.0,6.0,32.0,40.0
2025-06-18--18h-23m-35s,3.0,3.0,7.0,27.0,40.0
2025-06-18--18h-23m-35s,7.0,0.0,7.0,26.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,9.0,27.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,5.0,27.0,40.0
2025-06-18--18h-23m-35s,3.0,0.0,8.0,29.0,40.0
2025-06-18--18h-23m-35s,2.0,2.0,7.0,29.0,40.0
2025-06-18--18h-23m-35s,3.0,0.0,6.0,31.0,40.0
2025-06-18--18h-23m-35s,2.0,1.0,5.0,32.0,40.0
2025-06-18--18h-23m-35s,7.0,2.0,7.0,24.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,1.0,33.0,40.0
2025-06-18--18h-23m-35s,8.0,1.0,6.0,25.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,6.0,30.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,5.0,28.0,40.0
2025-06-18--18h-23m-35s,6.0,2.0,3.0,29.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,3.0,33.0,40.0
2025-06-18--18h-23m-35s,3.0,3.0,5.0,29.0,40.0
2025-06-18--18h-23m-35s,8.0,1.0,3.0,28.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,7.0,28.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,7.0,26.0,40.0
2025-06-18--18h-23m-35s,1.0,0.0,6.0,33.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,7.0,26.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,9.0,25.0,40.0
2025-06-18--18h-23m-35s,6.0,2.0,4.0,28.0,40.0
2025-06-18--18h-23m-35s,10.0,0.0,5.0,25.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,6.0,28.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,5.0,31.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,4.0,30.0,40.0
2025-06-18--18h-23m-35s,2.0,0.0,8.0,30.0,40.0
2025-06-18--18h-23m-35s,4.0,1.0,5.0,30.0,40.0
2025-06-18--18h-23m-35s,9.0,0.0,6.0,25.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,6.0,27.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,9.0,24.0,40.0
2025-06-18--18h-23m-35s,9.0,0.0,4.0,27.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,6.0,30.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,7.0,29.0,40.0
2025-06-18--18h-23m-35s,6.0,2.0,5.0,27.0,40.0
2025-06-18--18h-23m-35s,8.0,0.0,2.0,30.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,7.0,26.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,5.0,27.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,7.0,29.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,6.0,30.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,9.0,27.0,40.0
2025-06-18--18h-23m-35s,10.0,0.0,4.0,26.0,40.0
2025-06-18--18h-23m-35s,1.0,0.0,5.0,34.0,40.0
2025-06-18--18h-23m-35s,2.0,1.0,9.0,28.0,40.0
2025-06-18--18h-23m-35s,10.0,0.0,6.0,24.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,3.0,29.0,40.0
2025-06-18--18h-23m-35s,5.0,2.0,4.0,29.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,4.0,30.0,40.0
2025-06-18--18h-23m-35s,9.0,2.0,8.0,21.0,40.0
2025-06-18--18h-23m-35s,3.0,4.0,3.0,30.0,40.0
2025-06-18--18h-23m-35s,8.0,4.0,3.0,25.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,7.0,27.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,7.0,29.0,40.0
2025-06-18--18h-23m-35s,2.0,0.0,4.0,34.0,40.0
2025-06-18--18h-23m-35s,5.0,3.0,8.0,24.0,40.0
2025-06-18--18h-23m-35s,6.0,2.0,6.0,26.0,40.0
2025-06-18--18h-23m-35s,3.0,0.0,6.0,31.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,6.0,30.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,6.0,28.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,4.0,31.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,2.0,32.0,40.0
2025-06-18--18h-23m-35s,8.0,1.0,5.0,26.0,40.0
2025-06-18--18h-23m-35s,8.0,0.0,11.0,21.0,40.0
2025-06-18--18h-23m-35s,4.0,3.0,1.0,32.0,40.0
2025-06-18--18h-23m-35s,9.0,0.0,7.0,24.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,6.0,27.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,2.0,32.0,40.0
2025-06-18--18h-23m-35s,3.0,0.0,3.0,34.0,40.0
2025-06-18--18h-23m-35s,6.0,2.0,5.0,27.0,40.0
2025-06-18--18h-23m-35s,2.0,1.0,5.0,32.0,40.0
2025-06-18--18h-23m-35s,6.0,2.0,4.0,28.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,7.0,27.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,5.0,31.0,40.0
2025-06-18--18h-23m-35s,7.0,0.0,7.0,26.0,40.0
2025-06-18--18h-23m-35s,5.0,2.0,5.0,28.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,7.0,26.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,5.0,31.0,40.0
2025-06-18--18h-23m-35s,6.0,3.0,8.0,23.0,40.0
2025-06-18--18h-23m-35s,4.0,1.0,4.0,31.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,7.0,29.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,4.0,29.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,4.0,28.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,12.0,22.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,1.0,31.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,8.0,26.0,40.0
2025-06-18--18h-23m-35s,2.0,0.0,7.0,31.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,5.0,31.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,9.0,27.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,6.0,28.0,40.0
2025-06-18--18h-23m-35s,0.0,1.0,7.0,32.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,8.0,26.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,5.0,27.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,4.0,31.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,6.0,30.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,1.0,31.0,40.0
2025-06-18--18h-23m-35s,4.0,1.0,8.0,27.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,5.0,30.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,8.0,28.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,3.0,29.0,40.0
2025-06-18--18h-23m-35s,8.0,0.0,5.0,27.0,40.0
2025-06-18--18h-23m-35s,4.0,3.0,6.0,27.0,40.0
2025-06-18--18h-23m-35s,2.0,3.0,5.0,30.0,40.0
2025-06-18--18h-23m-35s,7.0,1.0,5.0,27.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,7.0,29.0,40.0
2025-06-18--18h-23m-35s,6.0,0.0,5.0,29.0,40.0
2025-06-18--18h-23m-35s,4.0,1.0,10.0,25.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,3.0,33.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,5.0,31.0,40.0
2025-06-18--18h-23m-35s,5.0,2.0,6.0,27.0,40.0
2025-06-18--18h-23m-35s,8.0,2.0,5.0,25.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,2.0,33.0,40.0
2025-06-18--18h-23m-35s,7.0,2.0,8.0,23.0,40.0
2025-06-18--18h-23m-35s,1.0,2.0,9.0,28.0,40.0
2025-06-18--18h-23m-35s,9.0,0.0,7.0,24.0,40.0
2025-06-18--18h-23m-35s,4.0,1.0,5.0,30.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,7.0,27.0,40.0
2025-06-18--18h-23m-35s,6.0,3.0,2.0,29.0,40.0
2025-06-18--18h-23m-35s,4.0,2.0,5.0,29.0,40.0
2025-06-18--18h-23m-35s,9.0,1.0,7.0,23.0,40.0
2025-06-18--18h-23m-35s,4.0,2.0,6.0,28.0,40.0
2025-06-18--18h-23m-35s,7.0,2.0,6.0,25.0,40.0
2025-06-18--18h-23m-35s,6.0,2.0,7.0,25.0,40.0
2025-06-18--18h-23m-35s,8.0,2.0,5.0,25.0,40.0
2025-06-18--18h-23m-35s,2.0,1.0,7.0,30.0,40.0
2025-06-18--18h-23m-35s,10.0,1.0,6.0,23.0,40.0
2025-06-18--18h-23m-35s,4.0,2.0,8.0,26.0,40.0
2025-06-18--18h-23m-35s,6.0,2.0,8.0,24.0,40.0
2025-06-18--18h-23m-35s,3.0,0.0,1.0,36.0,40.0
2025-06-18--18h-23m-35s,5.0,1.0,8.0,26.0,40.0
2025-06-18--18h-23m-35s,6.0,1.0,5.0,28.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,6.0,30.0,40.0
2025-06-18--18h-23m-35s,5.0,0.0,6.0,29.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,6.0,30.0,40.0
2025-06-18--18h-23m-35s,11.0,0.0,3.0,26.0,40.0
2025-06-18--18h-23m-35s,3.0,1.0,6.0,30.0,40.0
2025-06-18--18h-23m-35s,4.0,0.0,5.0,31.0,40.0
2025-06-18--18h-23m-35s,8.0,0.0,4.0,28.0,40.0
