data_dir,C,SB,DB_V,DB_H,N
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,1.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,1.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,6.0,0.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,1.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,1.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,1.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,7.0,0.0,73.0,0.0,80.0
2025-06-03--18h-04m-39s,6.0,0.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,2.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,1.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,6.0,0.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,7.0,0.0,73.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,1.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,1.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,1.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,1.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,1.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,6.0,0.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,1.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,1.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,1.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,1.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,1.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,1.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,1.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,1.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,1.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,2.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,6.0,0.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,1.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,1.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,1.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,1.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,7.0,0.0,73.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,6.0,0.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,6.0,0.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,8.0,0.0,72.0,0.0,80.0
2025-06-03--18h-04m-39s,10.0,0.0,70.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,1.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,6.0,0.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,1.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,6.0,0.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,6.0,0.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,6.0,0.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,7.0,0.0,73.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,6.0,0.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,1.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,8.0,0.0,72.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,1.0,74.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,1.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,1.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,5.0,0.0,75.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,0.0,0.0,80.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,1.0,0.0,79.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,0.0,77.0,0.0,80.0
2025-06-03--18h-04m-39s,4.0,0.0,76.0,0.0,80.0
2025-06-03--18h-04m-39s,2.0,0.0,78.0,0.0,80.0
2025-06-03--18h-04m-39s,3.0,1.0,76.0,0.0,80.0
