detector_a_name,detector_b_name,tomography_setting_t,tomography_setting_r,repetition,coincidences,timestamp,data_dir,estimation_label
9,12,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,DB_H
9,11,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,SB
9,10,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,SB
11,12,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,SB
10,12,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,SB
10,11,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,DB_V
1,9,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
1,12,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
1,11,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
1,10,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
1,4,H,H,0,1,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,DB_H
1,7,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,SB
1,2,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,SB
4,9,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
4,12,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
4,11,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
4,10,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
4,7,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,SB
7,9,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
7,12,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
7,11,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
7,10,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
2,9,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
2,12,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
2,11,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
2,10,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,C
2,4,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,SB
2,7,H,H,0,0,2025-05-30--14h-02m-16s-929063,2025-05-30--14h-02m-13s,DB_V
9,12,H,H,1,1,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,DB_H
9,11,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,SB
9,10,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,SB
11,12,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,SB
10,12,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,SB
10,11,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,DB_V
1,9,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
1,12,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
1,11,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
1,10,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
1,4,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,DB_H
1,7,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,SB
1,2,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,SB
4,9,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
4,12,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
4,11,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
4,10,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
4,7,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,SB
7,9,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
7,12,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
7,11,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
7,10,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
2,9,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
2,12,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
2,11,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
2,10,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,C
2,4,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,SB
2,7,H,H,1,0,2025-05-30--14h-02m-16s-948515,2025-05-30--14h-02m-13s,DB_V
9,12,H,H,2,0,2025-05-30--14h-02m-16s-960431,2025-05-30--14h-02m-13s,DB_H
9,11,H,H,2,0,2025-05-30--14h-02m-16s-960431,2025-05-30--14h-02m-13s,SB
