data_dir,C',HH,SB,VV,N
2025-06-18--17h-57m-15s,13.0,5.0,10.0,12.0,40.0
2025-06-18--17h-57m-15s,10.0,6.0,9.0,15.0,40.0
2025-06-18--17h-57m-15s,8.0,7.0,10.0,15.0,40.0
2025-06-18--17h-57m-15s,13.0,7.0,6.0,14.0,40.0
2025-06-18--17h-57m-15s,8.0,5.0,11.0,16.0,40.0
2025-06-18--17h-57m-15s,8.0,6.0,12.0,14.0,40.0
2025-06-18--17h-57m-15s,12.0,3.0,14.0,11.0,40.0
2025-06-18--17h-57m-15s,7.0,6.0,7.0,20.0,40.0
2025-06-18--17h-57m-15s,10.0,5.0,5.0,20.0,40.0
2025-06-18--17h-57m-15s,7.0,6.0,12.0,15.0,40.0
2025-06-18--17h-57m-15s,5.0,3.0,9.0,23.0,40.0
2025-06-18--17h-57m-15s,11.0,3.0,10.0,16.0,40.0
2025-06-18--17h-57m-15s,14.0,5.0,7.0,14.0,40.0
2025-06-18--17h-57m-15s,8.0,6.0,11.0,15.0,40.0
2025-06-18--17h-57m-15s,5.0,5.0,10.0,20.0,40.0
2025-06-18--17h-57m-15s,7.0,4.0,15.0,14.0,40.0
2025-06-18--17h-57m-15s,11.0,4.0,5.0,20.0,40.0
2025-06-18--17h-57m-15s,12.0,7.0,5.0,16.0,40.0
2025-06-18--17h-57m-15s,9.0,6.0,6.0,19.0,40.0
2025-06-18--17h-57m-15s,15.0,3.0,10.0,12.0,40.0
2025-06-18--17h-57m-15s,6.0,7.0,8.0,19.0,40.0
2025-06-18--17h-57m-15s,7.0,5.0,7.0,21.0,40.0
2025-06-18--17h-57m-15s,11.0,5.0,6.0,18.0,40.0
2025-06-18--17h-57m-15s,11.0,7.0,14.0,8.0,40.0
2025-06-18--17h-57m-15s,11.0,8.0,3.0,18.0,40.0
2025-06-18--17h-57m-15s,4.0,6.0,6.0,24.0,40.0
2025-06-18--17h-57m-15s,15.0,5.0,4.0,16.0,40.0
2025-06-18--17h-57m-15s,10.0,3.0,10.0,17.0,40.0
2025-06-18--17h-57m-15s,8.0,7.0,9.0,16.0,40.0
2025-06-18--17h-57m-15s,8.0,3.0,14.0,15.0,40.0
2025-06-18--17h-57m-15s,11.0,8.0,9.0,12.0,40.0
2025-06-18--17h-57m-15s,16.0,4.0,7.0,13.0,40.0
2025-06-18--17h-57m-15s,11.0,6.0,11.0,12.0,40.0
2025-06-18--17h-57m-15s,13.0,5.0,8.0,14.0,40.0
2025-06-18--17h-57m-15s,8.0,6.0,10.0,16.0,40.0
2025-06-18--17h-57m-15s,6.0,5.0,6.0,23.0,40.0
2025-06-18--17h-57m-15s,14.0,5.0,8.0,13.0,40.0
2025-06-18--17h-57m-15s,10.0,6.0,11.0,13.0,40.0
2025-06-18--17h-57m-15s,9.0,5.0,13.0,13.0,40.0
2025-06-18--17h-57m-15s,13.0,1.0,12.0,14.0,40.0
2025-06-18--17h-57m-15s,8.0,4.0,9.0,19.0,40.0
2025-06-18--17h-57m-15s,4.0,9.0,12.0,15.0,40.0
2025-06-18--17h-57m-15s,11.0,8.0,9.0,12.0,40.0
2025-06-18--17h-57m-15s,7.0,7.0,13.0,13.0,40.0
2025-06-18--17h-57m-15s,9.0,7.0,8.0,16.0,40.0
2025-06-18--17h-57m-15s,8.0,5.0,12.0,15.0,40.0
2025-06-18--17h-57m-15s,9.0,3.0,7.0,21.0,40.0
2025-06-18--17h-57m-15s,11.0,7.0,8.0,14.0,40.0
2025-06-18--17h-57m-15s,11.0,3.0,13.0,13.0,40.0
2025-06-18--17h-57m-15s,7.0,8.0,9.0,16.0,40.0
2025-06-18--17h-57m-15s,10.0,5.0,9.0,16.0,40.0
2025-06-18--17h-57m-15s,5.0,6.0,12.0,17.0,40.0
2025-06-18--17h-57m-15s,9.0,6.0,15.0,10.0,40.0
2025-06-18--17h-57m-15s,10.0,4.0,6.0,20.0,40.0
2025-06-18--17h-57m-15s,7.0,4.0,12.0,17.0,40.0
2025-06-18--17h-57m-15s,9.0,7.0,10.0,14.0,40.0
2025-06-18--17h-57m-15s,9.0,5.0,12.0,14.0,40.0
2025-06-18--17h-57m-15s,10.0,6.0,8.0,16.0,40.0
2025-06-18--17h-57m-15s,13.0,2.0,13.0,12.0,40.0
2025-06-18--17h-57m-15s,12.0,4.0,7.0,17.0,40.0
2025-06-18--17h-57m-15s,7.0,8.0,11.0,14.0,40.0
2025-06-18--17h-57m-15s,10.0,11.0,6.0,13.0,40.0
2025-06-18--17h-57m-15s,12.0,5.0,9.0,14.0,40.0
2025-06-18--17h-57m-15s,11.0,4.0,9.0,16.0,40.0
2025-06-18--17h-57m-15s,8.0,10.0,12.0,10.0,40.0
2025-06-18--17h-57m-15s,13.0,7.0,8.0,12.0,40.0
2025-06-18--17h-57m-15s,9.0,3.0,9.0,19.0,40.0
2025-06-18--17h-57m-15s,7.0,8.0,9.0,16.0,40.0
2025-06-18--17h-57m-15s,13.0,5.0,10.0,12.0,40.0
2025-06-18--17h-57m-15s,10.0,7.0,6.0,17.0,40.0
2025-06-18--17h-57m-15s,9.0,5.0,11.0,15.0,40.0
2025-06-18--17h-57m-15s,10.0,10.0,9.0,11.0,40.0
2025-06-18--17h-57m-15s,7.0,7.0,16.0,10.0,40.0
2025-06-18--17h-57m-15s,5.0,5.0,10.0,20.0,40.0
2025-06-18--17h-57m-15s,10.0,5.0,12.0,13.0,40.0
2025-06-18--17h-57m-15s,10.0,3.0,10.0,17.0,40.0
2025-06-18--17h-57m-15s,12.0,4.0,7.0,17.0,40.0
2025-06-18--17h-57m-15s,13.0,2.0,6.0,19.0,40.0
2025-06-18--17h-57m-15s,10.0,3.0,10.0,17.0,40.0
2025-06-18--17h-57m-15s,16.0,5.0,4.0,15.0,40.0
2025-06-18--17h-57m-15s,8.0,6.0,8.0,18.0,40.0
2025-06-18--17h-57m-15s,9.0,9.0,9.0,13.0,40.0
2025-06-18--17h-57m-15s,8.0,4.0,6.0,22.0,40.0
2025-06-18--17h-57m-15s,6.0,7.0,11.0,16.0,40.0
2025-06-18--17h-57m-15s,9.0,7.0,9.0,15.0,40.0
2025-06-18--17h-57m-15s,9.0,4.0,7.0,20.0,40.0
2025-06-18--17h-57m-15s,10.0,6.0,9.0,15.0,40.0
2025-06-18--17h-57m-15s,9.0,5.0,8.0,18.0,40.0
2025-06-18--17h-57m-15s,7.0,3.0,13.0,17.0,40.0
2025-06-18--17h-57m-15s,17.0,3.0,7.0,13.0,40.0
2025-06-18--17h-57m-15s,8.0,3.0,7.0,22.0,40.0
2025-06-18--17h-57m-15s,7.0,5.0,11.0,17.0,40.0
2025-06-18--17h-57m-15s,11.0,5.0,7.0,17.0,40.0
2025-06-18--17h-57m-15s,10.0,3.0,6.0,21.0,40.0
2025-06-18--17h-57m-15s,4.0,6.0,13.0,17.0,40.0
2025-06-18--17h-57m-15s,4.0,5.0,11.0,20.0,40.0
2025-06-18--17h-57m-15s,11.0,5.0,6.0,18.0,40.0
2025-06-18--17h-57m-15s,13.0,7.0,9.0,11.0,40.0
2025-06-18--17h-57m-15s,8.0,8.0,11.0,13.0,40.0
2025-06-18--17h-57m-15s,9.0,7.0,12.0,12.0,40.0
2025-06-18--17h-57m-15s,8.0,3.0,7.0,22.0,40.0
2025-06-18--17h-57m-15s,10.0,5.0,10.0,15.0,40.0
2025-06-18--17h-57m-15s,8.0,5.0,8.0,19.0,40.0
2025-06-18--17h-57m-15s,10.0,2.0,6.0,22.0,40.0
2025-06-18--17h-57m-15s,6.0,7.0,6.0,21.0,40.0
2025-06-18--17h-57m-15s,15.0,3.0,5.0,17.0,40.0
2025-06-18--17h-57m-15s,12.0,4.0,10.0,14.0,40.0
2025-06-18--17h-57m-15s,16.0,2.0,12.0,10.0,40.0
2025-06-18--17h-57m-15s,8.0,9.0,8.0,15.0,40.0
2025-06-18--17h-57m-15s,9.0,3.0,15.0,13.0,40.0
2025-06-18--17h-57m-15s,14.0,5.0,7.0,14.0,40.0
2025-06-18--17h-57m-15s,11.0,3.0,12.0,14.0,40.0
2025-06-18--17h-57m-15s,8.0,3.0,10.0,19.0,40.0
2025-06-18--17h-57m-15s,5.0,6.0,11.0,18.0,40.0
2025-06-18--17h-57m-15s,4.0,4.0,12.0,20.0,40.0
2025-06-18--17h-57m-15s,8.0,6.0,9.0,17.0,40.0
2025-06-18--17h-57m-15s,3.0,8.0,6.0,23.0,40.0
2025-06-18--17h-57m-15s,9.0,2.0,10.0,19.0,40.0
2025-06-18--17h-57m-15s,7.0,5.0,10.0,18.0,40.0
2025-06-18--17h-57m-15s,13.0,5.0,12.0,10.0,40.0
2025-06-18--17h-57m-15s,11.0,6.0,8.0,15.0,40.0
2025-06-18--17h-57m-15s,6.0,6.0,11.0,17.0,40.0
2025-06-18--17h-57m-15s,11.0,3.0,12.0,14.0,40.0
2025-06-18--17h-57m-15s,18.0,4.0,4.0,14.0,40.0
2025-06-18--17h-57m-15s,7.0,5.0,6.0,22.0,40.0
2025-06-18--17h-57m-15s,11.0,6.0,9.0,14.0,40.0
2025-06-18--17h-57m-15s,10.0,2.0,10.0,18.0,40.0
2025-06-18--17h-57m-15s,10.0,6.0,7.0,17.0,40.0
2025-06-18--17h-57m-15s,9.0,2.0,9.0,20.0,40.0
2025-06-18--17h-57m-15s,8.0,9.0,14.0,9.0,40.0
2025-06-18--17h-57m-15s,8.0,4.0,11.0,17.0,40.0
2025-06-18--17h-57m-15s,6.0,8.0,10.0,16.0,40.0
2025-06-18--17h-57m-15s,10.0,9.0,6.0,15.0,40.0
2025-06-18--17h-57m-15s,10.0,4.0,13.0,13.0,40.0
2025-06-18--17h-57m-15s,11.0,6.0,7.0,16.0,40.0
2025-06-18--17h-57m-15s,8.0,8.0,6.0,18.0,40.0
2025-06-18--17h-57m-15s,9.0,8.0,9.0,14.0,40.0
2025-06-18--17h-57m-15s,6.0,5.0,13.0,16.0,40.0
2025-06-18--17h-57m-15s,10.0,5.0,9.0,16.0,40.0
2025-06-18--17h-57m-15s,7.0,9.0,8.0,16.0,40.0
2025-06-18--17h-57m-15s,6.0,11.0,7.0,16.0,40.0
2025-06-18--17h-57m-15s,11.0,5.0,12.0,12.0,40.0
2025-06-18--17h-57m-15s,7.0,5.0,11.0,17.0,40.0
2025-06-18--17h-57m-15s,9.0,8.0,11.0,12.0,40.0
2025-06-18--17h-57m-15s,10.0,5.0,9.0,16.0,40.0
2025-06-18--17h-57m-15s,6.0,3.0,15.0,16.0,40.0
2025-06-18--17h-57m-15s,10.0,8.0,9.0,13.0,40.0
2025-06-18--17h-57m-15s,11.0,3.0,8.0,18.0,40.0
2025-06-18--17h-57m-15s,8.0,7.0,13.0,12.0,40.0
2025-06-18--17h-57m-15s,6.0,4.0,13.0,17.0,40.0
2025-06-18--17h-57m-15s,8.0,4.0,11.0,17.0,40.0
2025-06-18--17h-57m-15s,11.0,7.0,9.0,13.0,40.0
2025-06-18--17h-57m-15s,10.0,4.0,12.0,14.0,40.0
2025-06-18--17h-57m-15s,11.0,6.0,10.0,13.0,40.0
2025-06-18--17h-57m-15s,9.0,5.0,9.0,17.0,40.0
2025-06-18--17h-57m-15s,11.0,9.0,14.0,6.0,40.0
2025-06-18--17h-57m-15s,9.0,6.0,5.0,20.0,40.0
2025-06-18--17h-57m-15s,11.0,7.0,7.0,15.0,40.0
2025-06-18--17h-57m-15s,12.0,2.0,10.0,16.0,40.0
2025-06-18--17h-57m-15s,9.0,5.0,11.0,15.0,40.0
2025-06-18--17h-57m-15s,13.0,5.0,8.0,14.0,40.0
2025-06-18--17h-57m-15s,8.0,10.0,9.0,13.0,40.0
2025-06-18--17h-57m-15s,10.0,2.0,12.0,16.0,40.0
2025-06-18--17h-57m-15s,10.0,7.0,10.0,13.0,40.0
2025-06-18--17h-57m-15s,4.0,12.0,11.0,13.0,40.0
2025-06-18--17h-57m-15s,4.0,5.0,11.0,20.0,40.0
2025-06-18--17h-57m-15s,10.0,7.0,6.0,17.0,40.0
2025-06-18--17h-57m-15s,9.0,7.0,10.0,14.0,40.0
2025-06-18--17h-57m-15s,9.0,7.0,7.0,17.0,40.0
2025-06-18--17h-57m-15s,13.0,6.0,5.0,16.0,40.0
2025-06-18--17h-57m-15s,6.0,5.0,12.0,17.0,40.0
2025-06-18--17h-57m-15s,9.0,6.0,13.0,12.0,40.0
2025-06-18--17h-57m-15s,7.0,7.0,10.0,16.0,40.0
2025-06-18--17h-57m-15s,9.0,4.0,10.0,17.0,40.0
2025-06-18--17h-57m-15s,13.0,5.0,8.0,14.0,40.0
2025-06-18--17h-57m-15s,11.0,6.0,7.0,16.0,40.0
2025-06-18--17h-57m-15s,13.0,1.0,11.0,15.0,40.0
2025-06-18--17h-57m-15s,7.0,4.0,15.0,14.0,40.0
2025-06-18--17h-57m-15s,10.0,9.0,8.0,13.0,40.0
2025-06-18--17h-57m-15s,10.0,5.0,8.0,17.0,40.0
2025-06-18--17h-57m-15s,4.0,7.0,11.0,18.0,40.0
2025-06-18--17h-57m-15s,3.0,8.0,5.0,24.0,40.0
2025-06-18--17h-57m-15s,12.0,5.0,9.0,14.0,40.0
2025-06-18--17h-57m-15s,5.0,6.0,13.0,16.0,40.0
2025-06-18--17h-57m-15s,9.0,4.0,12.0,15.0,40.0
2025-06-18--17h-57m-15s,4.0,5.0,10.0,21.0,40.0
2025-06-18--17h-57m-15s,6.0,7.0,6.0,21.0,40.0
2025-06-18--17h-57m-15s,11.0,3.0,15.0,11.0,40.0
2025-06-18--17h-57m-15s,9.0,5.0,9.0,17.0,40.0
2025-06-18--17h-57m-15s,11.0,3.0,8.0,18.0,40.0
2025-06-18--17h-57m-15s,13.0,3.0,7.0,17.0,40.0
2025-06-18--17h-57m-15s,8.0,5.0,6.0,21.0,40.0
2025-06-18--17h-57m-15s,10.0,7.0,8.0,15.0,40.0
2025-06-18--17h-57m-15s,11.0,3.0,10.0,16.0,40.0
2025-06-18--17h-57m-15s,11.0,3.0,9.0,17.0,40.0
2025-06-18--17h-57m-15s,6.0,11.0,5.0,18.0,40.0
2025-06-18--17h-57m-15s,9.0,8.0,7.0,16.0,40.0
2025-06-18--17h-57m-15s,10.0,1.0,8.0,21.0,40.0
2025-06-18--17h-57m-15s,9.0,6.0,6.0,19.0,40.0
2025-06-18--17h-57m-15s,10.0,1.0,7.0,22.0,40.0
2025-06-18--17h-57m-15s,9.0,6.0,8.0,17.0,40.0
2025-06-18--17h-57m-15s,12.0,9.0,13.0,6.0,40.0
2025-06-18--17h-57m-15s,9.0,4.0,9.0,18.0,40.0
2025-06-18--17h-57m-15s,9.0,5.0,12.0,14.0,40.0
2025-06-18--17h-57m-15s,9.0,10.0,6.0,15.0,40.0
2025-06-18--17h-57m-15s,9.0,9.0,9.0,13.0,40.0
2025-06-18--17h-57m-15s,10.0,4.0,10.0,16.0,40.0
2025-06-18--17h-57m-15s,13.0,4.0,11.0,12.0,40.0
2025-06-18--17h-57m-15s,7.0,10.0,7.0,16.0,40.0
2025-06-18--17h-57m-15s,11.0,2.0,12.0,15.0,40.0
2025-06-18--17h-57m-15s,10.0,8.0,8.0,14.0,40.0
2025-06-18--17h-57m-15s,9.0,11.0,4.0,16.0,40.0
2025-06-18--17h-57m-15s,9.0,8.0,8.0,15.0,40.0
2025-06-18--17h-57m-15s,11.0,5.0,14.0,10.0,40.0
2025-06-18--17h-57m-15s,6.0,9.0,10.0,15.0,40.0
2025-06-18--17h-57m-15s,11.0,7.0,9.0,13.0,40.0
2025-06-18--17h-57m-15s,10.0,4.0,8.0,18.0,40.0
2025-06-18--17h-57m-15s,7.0,4.0,13.0,16.0,40.0
2025-06-18--17h-57m-15s,9.0,3.0,6.0,22.0,40.0
2025-06-18--17h-57m-15s,5.0,5.0,9.0,21.0,40.0
2025-06-18--17h-57m-15s,7.0,8.0,9.0,16.0,40.0
2025-06-18--17h-57m-15s,8.0,5.0,10.0,17.0,40.0
2025-06-18--17h-57m-15s,6.0,2.0,12.0,20.0,40.0
2025-06-18--17h-57m-15s,7.0,5.0,11.0,17.0,40.0
2025-06-18--17h-57m-15s,11.0,4.0,7.0,18.0,40.0
2025-06-18--17h-57m-15s,11.0,2.0,8.0,19.0,40.0
2025-06-18--17h-57m-15s,8.0,4.0,7.0,21.0,40.0
2025-06-18--17h-57m-15s,13.0,7.0,9.0,11.0,40.0
2025-06-18--17h-57m-15s,7.0,6.0,10.0,17.0,40.0
2025-06-18--17h-57m-15s,10.0,5.0,8.0,17.0,40.0
2025-06-18--17h-57m-15s,8.0,4.0,8.0,20.0,40.0
2025-06-18--17h-57m-15s,9.0,5.0,10.0,16.0,40.0
2025-06-18--17h-57m-15s,8.0,5.0,9.0,18.0,40.0
2025-06-18--17h-57m-15s,8.0,2.0,15.0,15.0,40.0
2025-06-18--17h-57m-15s,10.0,11.0,6.0,13.0,40.0
2025-06-18--17h-57m-15s,8.0,7.0,9.0,16.0,40.0
2025-06-18--17h-57m-15s,12.0,7.0,11.0,10.0,40.0
2025-06-18--17h-57m-15s,6.0,6.0,12.0,16.0,40.0
2025-06-18--17h-57m-15s,11.0,6.0,6.0,17.0,40.0
2025-06-18--17h-57m-15s,11.0,5.0,13.0,11.0,40.0
2025-06-18--17h-57m-15s,10.0,6.0,4.0,20.0,40.0
2025-06-18--17h-57m-15s,10.0,7.0,7.0,16.0,40.0
2025-06-18--17h-57m-15s,13.0,11.0,3.0,13.0,40.0
2025-06-18--17h-57m-15s,8.0,6.0,7.0,19.0,40.0
2025-06-18--17h-57m-15s,7.0,8.0,9.0,16.0,40.0
2025-06-18--17h-57m-15s,7.0,5.0,5.0,23.0,40.0
2025-06-18--17h-57m-15s,13.0,2.0,13.0,12.0,40.0
2025-06-18--17h-57m-15s,13.0,9.0,5.0,13.0,40.0
2025-06-18--17h-57m-15s,12.0,6.0,11.0,11.0,40.0
2025-06-18--17h-57m-15s,10.0,5.0,10.0,15.0,40.0
2025-06-18--17h-57m-15s,12.0,4.0,9.0,15.0,40.0
2025-06-18--17h-57m-15s,7.0,3.0,7.0,23.0,40.0
2025-06-18--17h-57m-15s,10.0,7.0,8.0,15.0,40.0
2025-06-18--17h-57m-15s,15.0,5.0,8.0,12.0,40.0
2025-06-18--17h-57m-15s,7.0,6.0,7.0,20.0,40.0
2025-06-18--17h-57m-15s,11.0,6.0,4.0,19.0,40.0
2025-06-18--17h-57m-15s,8.0,6.0,6.0,20.0,40.0
2025-06-18--17h-57m-15s,11.0,5.0,8.0,16.0,40.0
2025-06-18--17h-57m-15s,10.0,5.0,16.0,9.0,40.0
2025-06-18--17h-57m-15s,9.0,6.0,5.0,20.0,40.0
2025-06-18--17h-57m-15s,6.0,7.0,7.0,20.0,40.0
2025-06-18--17h-57m-15s,12.0,2.0,10.0,16.0,40.0
2025-06-18--17h-57m-15s,9.0,9.0,8.0,14.0,40.0
2025-06-18--17h-57m-15s,8.0,4.0,11.0,17.0,40.0
2025-06-18--17h-57m-15s,10.0,6.0,11.0,13.0,40.0
2025-06-18--17h-57m-15s,15.0,2.0,8.0,15.0,40.0
2025-06-18--17h-57m-15s,15.0,5.0,8.0,12.0,40.0
2025-06-18--17h-57m-15s,9.0,6.0,8.0,17.0,40.0
2025-06-18--17h-57m-15s,9.0,5.0,10.0,16.0,40.0
2025-06-18--17h-57m-15s,14.0,2.0,6.0,18.0,40.0
2025-06-18--17h-57m-15s,12.0,7.0,7.0,14.0,40.0
2025-06-18--17h-57m-15s,10.0,6.0,9.0,15.0,40.0
2025-06-18--17h-57m-15s,8.0,9.0,10.0,13.0,40.0
2025-06-18--17h-57m-15s,9.0,4.0,14.0,13.0,40.0
2025-06-18--17h-57m-15s,12.0,6.0,10.0,12.0,40.0
2025-06-18--17h-57m-15s,8.0,6.0,7.0,19.0,40.0
2025-06-18--17h-57m-15s,8.0,8.0,10.0,14.0,40.0
2025-06-18--17h-57m-15s,9.0,5.0,11.0,15.0,40.0
2025-06-18--17h-57m-15s,8.0,4.0,7.0,21.0,40.0
2025-06-18--17h-57m-15s,4.0,8.0,9.0,19.0,40.0
2025-06-18--17h-57m-15s,7.0,4.0,12.0,17.0,40.0
2025-06-18--17h-57m-15s,16.0,3.0,9.0,12.0,40.0
2025-06-18--17h-57m-15s,10.0,4.0,12.0,14.0,40.0
2025-06-18--17h-57m-15s,7.0,6.0,9.0,18.0,40.0
2025-06-18--17h-57m-15s,11.0,4.0,9.0,16.0,40.0
2025-06-18--17h-57m-15s,8.0,6.0,10.0,16.0,40.0
2025-06-18--17h-57m-15s,12.0,3.0,8.0,17.0,40.0
2025-06-18--17h-57m-15s,13.0,6.0,9.0,12.0,40.0
2025-06-18--17h-57m-15s,7.0,5.0,14.0,14.0,40.0
2025-06-18--17h-57m-15s,9.0,8.0,7.0,16.0,40.0
2025-06-18--17h-57m-15s,8.0,5.0,12.0,15.0,40.0
2025-06-18--17h-57m-15s,8.0,7.0,8.0,17.0,40.0
2025-06-18--17h-57m-15s,9.0,7.0,5.0,19.0,40.0
2025-06-18--17h-57m-15s,10.0,2.0,9.0,19.0,40.0
2025-06-18--17h-57m-15s,5.0,6.0,10.0,19.0,40.0
2025-06-18--17h-57m-15s,6.0,5.0,10.0,19.0,40.0
2025-06-18--17h-57m-15s,11.0,4.0,7.0,18.0,40.0
2025-06-18--17h-57m-15s,5.0,5.0,9.0,21.0,40.0
2025-06-18--17h-57m-15s,14.0,6.0,8.0,12.0,40.0
2025-06-18--17h-57m-15s,9.0,5.0,10.0,16.0,40.0
2025-06-18--17h-57m-15s,15.0,5.0,10.0,10.0,40.0
2025-06-18--17h-57m-15s,11.0,6.0,6.0,17.0,40.0
2025-06-18--17h-57m-15s,9.0,2.0,9.0,20.0,40.0
2025-06-18--17h-57m-15s,12.0,7.0,9.0,12.0,40.0
2025-06-18--17h-57m-15s,12.0,3.0,10.0,15.0,40.0
2025-06-18--17h-57m-15s,8.0,6.0,13.0,13.0,40.0
2025-06-18--17h-57m-15s,11.0,6.0,8.0,15.0,40.0
2025-06-18--17h-57m-15s,9.0,7.0,11.0,13.0,40.0
2025-06-18--17h-57m-15s,6.0,8.0,9.0,17.0,40.0
2025-06-18--17h-57m-15s,10.0,5.0,13.0,12.0,40.0
2025-06-18--17h-57m-15s,5.0,8.0,6.0,21.0,40.0
2025-06-18--17h-57m-15s,4.0,4.0,7.0,25.0,40.0
2025-06-18--17h-57m-15s,11.0,6.0,8.0,15.0,40.0
2025-06-18--17h-57m-15s,11.0,6.0,8.0,15.0,40.0
2025-06-18--17h-57m-15s,13.0,6.0,8.0,13.0,40.0
2025-06-18--17h-57m-15s,16.0,4.0,7.0,13.0,40.0
